_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
15,Communities,"Children, Community and Social Services",Durham,Anti-Human Trafficking Specialized Residential Sites - Murray McKinnon Foundation ,Complete,September 2021,Implementation of a specialized site in Durham for children and youth who are victims of human-trafficking. ,"This specialized residence will divert children and youth that are being, or at risk of being trafficked, from less effective services and result in better health, social, legal and educational outcomes. ",Durham,Central,Address is confidential,,,0,,Yes,,,"https://www.ontario.ca/page/ontarios-anti-human-trafficking-strategy-2020-2025#:~:text=Ontario%27s%20anti%2Dhuman%20trafficking%20strategy%20will%20raise%20awareness%20of%20the,give%20law%20enforcement%20the%20tools",,
16,Communities,"Children, Community and Social Services",Garden River First Nation,Dan Pine Healing Lodge ,Complete,March 2016,Upgrades and renovations to existing building,Space to provide programs and services combining traditional healing and contemporary therapeutic interventions,Algoma,Northeast,200 Anishnabe Point Rd,P0S 1C0,,"$562,147",,Yes,,,,46.531489,-84.161024
17,Communities,"Children, Community and Social Services",Guelph,Improvements to Community Living Guelph Wellington,Complete,March 2017,Renovation of bathrooms and adding sprinkler systems,"Provide better, more secure and accessible facilities",Wellington,Southwest,87 Silvercreek Parkway,N1H 6S4,,"$20,000",,Yes,,,,43.537647,-80.276365
18,Communities,"Children, Community and Social Services",Hamilton,McMaster Children's Hospital - New Ron Joyce Children's Health Centre,Complete,October 2015,New building,"Accessible treatment centre delivers autism services, child/youth mental health services, developmental pediatrics and rehab, fitting and manufacturing of prosthetics/orthotics for children and adults",Hamilton,Central,325 Wellington St N,L8L 0A4,,"$86,000,000",,Yes,,,http://www.infrastructureontario.ca/Ron-Joyce-Children%E2%80%99s-Health-Centre/,43.263655,-79.855355
19,Communities,"Children, Community and Social Services",Hamilton,Christian Horizons Rebuild,Complete,March 2018,Partial demolition and reconstruction of existing building,"4,800 sq. ft. group home with 6 beds, providing better, more secure and accessibility facilities",Hamilton,Central,Concession 6,N0B1L0,,"$1,500,000",,Yes,,,https://www.christian-horizons.org/article/2593-ontario-supporting-rebuild-of-branchton-residence,43.305094,-80.220977
20,Communities,"Children, Community and Social Services",Kawartha Lakes,Boys & Girls Club of Kawartha Lakes Community Hub Enhancement,Complete,November 2017,Expansion of building and two parking lots,"Construction of a 5,775 sq. ft. suite and a 2,200 sq. ft. section 23 classroom",Kawartha Lakes,East,107 Lindsay St,K9V 2M5,,"$1,975,000",,Yes,,Yes,http://www.bgckl.com/,44.3493,-78.7326
21,Communities,"Children, Community and Social Services",Kirkland Lake,North Eastern Ontario Family and Children's Services,Complete,June 2017,Expansion and renovation of existing building,Multi-service community hub,Timiskaming,Northeast,6 Tweedsmuir Rd,P2N 1A3,,"$3,600,000",,Yes,,Yes,http://www.neofacs.org/,48.1549,-80.03
22,Communities,"Children, Community and Social Services",Markham,Repairs at Participation House (Farintosh House),Complete,March 2017,"Prepare, prime and paint 14 vertical structural posts ","Provide better, more secure and accessible facilities",York,Central,7811 Kennedy Rd,L3R 2C8,,"$58,103",,Yes,,,,43.845211,-79.304821
23,Communities,"Children, Community and Social Services",Markham,Repairs and replacements at Participation House,Complete,March 2017,"Includes resurfaced driveway, walkway and back patio; repainted structural posts; repaired foundation; new roof, magnetic locking, smoke-barrier door, cooling units, flooring and walls in five shower rooms","Provide better, more secure and accessible facilities",York,Central,9 Butternut Lane,L3P 3M1,,"$414,097",,Yes,,,,43.883436,-79.235061
24,Communities,"Children, Community and Social Services",Markham,Repairs at Participation House (Henderson House),Complete,March 2017,Replace driveway and interlocking walkway to wheelchair ramp,"Provide better, more secure and accessible facilities",York,Central,113 Henderson Ave,L3T 2L3,,"$8,800",,Yes,,,,43.808412,-79.409406
25,Communities,"Children, Community and Social Services",Mississauga,ErinoakKids Centre for Treatment and Development,Complete,January 2018,Construction of new building,"At 93,000 sq. ft., new centre to include 20 treatment rooms,  snoezelen (multi-sensory) room, adapted fitness facility, two gyms for physiotherapy, youth drop-in and more for children with special needs and their families",Peel,Central,1230 Central Parkway W,L5C 0A5,,"$51,890,000",,Yes,,,http://www.erinoakkids.ca/About-Us/Our-Future/Mississauga-site.aspx,43.566536,-79.65746
26,Communities,"Children, Community and Social Services",North Bay,HANDS The Family Help Network - North Eastern Ontario Family Help and Treatment Centre,Complete,February 2018,Construction of a new building,"18,000 sq. ft. of clinical and administrative space, with the ability to add 2 floors in the future for colocation and community hub partnerships",Nipissing,Northeast,391 Oak St,P1B 1A3,,"$8,800,000",,Yes,,Yes,https://news.ontario.ca/mcys/en/2016/12/helping-more-children-and-families-in-north-bay.html https://www.thefamilyhelpnetwork.ca/,46.3091,-79.4608
27,Communities,"Children, Community and Social Services",Oakville,ErinoakKids Centre for Treatment and Development,Complete,January 2018,"Construction of a new treatment centre, next to the new Oakville hospital","At 73,000 sq. ft., new centre to include 20 treatment rooms,  snoezelen (multi-sensory) room, adapted fitness facility, two gyms for physiotherapy, youth drop-in and more for children with special needs and their families",Halton,Central,2000 Glenorchy Rd,L6M 0X4,,"$46,650,000",,Yes,,,http://www.erinoakkids.ca/About-Us/Our-Future/Oakville-site.aspx,43.467517,-79.687666
28,Communities,"Children, Community and Social Services",Orillia,Green Haven Shelter for Women,Complete,March 2020,Construction of a new shelter on a newly acquired site.,Construction of a new 12-bed accessible shelter with flexible design to allow for potential future expansion.,Simcoe,Central,Address is confidential,,,"$6,200,000",,Yes,Yes,Yes,https://www.cmhc-schl.gc.ca/en/media-newsroom/news-releases/2018/governments-announce-funding-shelters-survivors-domestic-violence,,
29,Communities,"Children, Community and Social Services",Oshawa,Catholic Family Services of Durham,Complete,August 2018,Acquisition  and renovations of a site to deliver a variety of services to the community through a community hub model.  ,"The building will provide a variety of services, including support for survivors of domestic violence and their children, crisis support, intensive trauma counselling, sexual assault counselling and transitional housing support services. ",Durham,Central,Address is confidential,,,"$1,100,000",,Yes,,,http://www.cfsdurham.com/english/Hope%20Centre%20Durham%20Region.pdf,,
30,Communities,"Children, Community and Social Services",Ottawa,Nelson House,Complete,August 2018,Construction of a new shelter to replace the existing site.,Construction of a new accessible shelter which will provide 5 additional beds for services.,Ottawa,East,Address is confidential,,,"$5,300,000",,,Yes,,http://www.nelsonhouse.on.ca/2017/04/21/federal-provincial-governments-approve-funding-new-shelter-nelson-house/,,
31,Communities,"Children, Community and Social Services",Ottawa,Minwaashin Lodge,Complete,March 2020,"Renovations and upgrades to the exisiting shelter site, including a multi-storey addition.",The shelter upgrades and addition will optimize programming spaces and ensure suitable culturally appropriate space.,Ottawa,East,Address is confidential,,,"$1,000,000",,Yes,Yes,,https://www.cmhc-schl.gc.ca/en/media-newsroom/news-releases/2018/governments-announce-funding-shelters-survivors-domestic-violence,,
32,Communities,"Children, Community and Social Services",Ottawa,1Door4Care: CHEO Integrated Treatment Centre,Under construction,November 2027,"Construct a new state-of-the-art children’s treatment centre on the CHEO campus, to offer critical services for children and youth with special needs.","Consolidation of services and improved support for developmental, rehabilitation, behavioural and mental health.. ",Ottawa,East,401 Smyth Rd,K1H 8L1,,"$371,370,000",,Yes,,Yes,https://www.news.ontario.ca/en/release/52689/ontario-supports-the-childrens-hospital-of-eastern-ontario,45.400974,-75.651314
33,Communities,"Children, Community and Social Services",Ottawa,Ronald McDonald House Charities (RMHC) - Ottawa site,Under construction,April 2025,"New expansion of approximately 25,000 sq. ft. to add 22 new suites into the existing RMHC building in Ottawa to accommodate up to 36 families who are away from home, while their child is receiving care at the Children’s Hospital of Eastern Ontario (CHEO).","The project will add 22 more suites to create a 36-suite facility that can accommodate families travelling 80 km and further with a sick child at Children Hospital of Eastern Ontario (CHEO). The project will expand the building envelope, and install life systems and outdoor enhancements.",Ottawa,East,,,,0,,Yes,Yes,Yes,,43.879,-79.03
34,Communities,"Children, Community and Social Services",Prescott and Russell,Valoris for Children and Adults of Prescott-Russell Multi-Service Building,Complete,October 2016,Construction of new building,"Wide range of community and social services programs under one roof (e.g. mental health, family violence, child/adult development)",Prescott and Russell,East,8 rue Valoris,K0A 1W0,,"$4,000,000",,Yes,,Yes,http://www.valorispr.ca/en/,45.259265,-75.357609
35,Communities,"Children, Community and Social Services",Richmond Hill,Christian Horizons Upgrades and Repairs,Complete,March 2017,"Includes new roof, fixing and extending driveway, repairs and renovations to bathrooms, bedrooms and recreation areas","Provide better, more secure and accessible facilities",York,Central,148 Weldrick Rd W,L4C 3V1,,"$55,000",,Yes,,,,43.857619,-79.448352
36,Communities,"Children, Community and Social Services",Richmond Hill,Community Living York South Upgrades and Repairs,Complete,March 2017,Replacement of pavement on driveway and curbs,"Provide better, more secure and accessible facilities",York,Central,376 Balkan Rd,L4C 2P1,,"$15,000",,Yes,,,,43.882638,-79.421899
37,Communities,"Children, Community and Social Services",Richmond Hill,Community Living York South Upgrades and Repairs,Complete,March 2017,Replace furnace and air conditioning,"Provide better, more secure and accessible facilities",York,Central,8 Blackforest Dr,L4E 2P6,,"$6,500",,Yes,,,,43.955075,-79.458392
38,Communities,"Children, Community and Social Services",Richmond Hill,Sandgate Women's Shelter Upgrades and Repairs,Complete,March 2017,New  energy-efficient windows to replace existing windows,"Provide better, more secure and accessible facilities",York,Central,,,,"$7,100",,Yes,,,,,
39,Communities,"Children, Community and Social Services",St. Thomas,Women's Place Emergency Shelter Replacement,Complete,September 2016,Construction of new building,"7,250 sq. ft.-shelter with 10 bedrooms and 26 beds",Elgin,Southwest,,,,"$2,024,000",,Yes,,Yes,http://www.vawsec.on.ca/,,
40,Communities,"Children, Community and Social Services",Toronto,Repairs to Aptus Treatment Centre,Complete,March 2017,New canopy over front entrance,"Provide better, more secure and accessible facilities",Toronto,Central,174 Kennard Ave,M3H 4M7,,"$13,800",,Yes,,,,43.760026,-79.462488
41,Communities,"Children, Community and Social Services",Toronto,Repairs to Aptus Treatment Centre,Complete,March 2017,"Replacing fence, curbs and driveway","Provide better, more secure and accessible facilities",Toronto,Central,379 Brooke Ave,M4M 2L5,,"$18,900",,Yes,,,,43.730964,-79.429606
42,Communities,"Children, Community and Social Services",Toronto,Repairs to Aptus Treatment Centre,Complete,March 2017,Replacing driveway and walkway,"Provide better, more secure and accessible facilities",Toronto,Central,524 Fairlawn Ave,M5M 1V2,,"$14,300",,Yes,,,,43.726082,-79.426837
43,Communities,"Children, Community and Social Services",Toronto,Repairs to Aptus Treatment Centre,Complete,March 2017,"New roof, raised window wells","Provide better, more secure and accessible facilities",Toronto,Central,64 Lorraine Dr,M2N 3E7,,"$22,300",,Yes,,,,43.776978,-79.42111
44,Communities,"Children, Community and Social Services",Toronto,North York Women's Shelter,Complete,July 2019,Demolition and reconstruction of a building,"Construction of a new accessible 24,000 sq. ft. (approx) 30-bed VAW shelter with space for administrative/outreach services",Toronto,Central,Address is confidential,,,"$12,000,000",,Yes,Yes,Yes,http://www.nyws.ca/her-campaign/faqs/,,
45,Communities,"Children, Community and Social Services",Toronto,Nellie's (Women's Hostels Inc.),Complete,October 2021,Renovation of the newly acquired site in Toronto,"This building will provide a  40-bed, fully accessible building – consolidating the shelter, community support and outreach and administrative services into one location.",Toronto,Central,Address is confidential,,,"$12,000,000",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/52978/ontario-investing-in-shelter-expansion-in-toronto-to-protect-vulnerable-women-and-children,,
46,Communities,"Children, Community and Social Services",Toronto,Anti-Human Trafficking Specialized Residential Sites - Operation Springboard ,Complete,June 2021,Implementation of a specialized site in Toronto for children and youth who are victims of human-trafficking. ,"This specialized residence will divert children and youth that are being, or at risk of being trafficked, from less effective services and result in better health, social, legal and educational outcomes. ",Toronto,Central,Address is confidential,,,0,,,,Yes,"https://www.ontario.ca/page/ontarios-anti-human-trafficking-strategy-2020-2025#:~:text=Ontario%27s%20anti%2Dhuman%20trafficking%20strategy%20will%20raise%20awareness%20of%20the,give%20law%20enforcement%20the%20tools",,
47,Communities,"Environment, Conservation and Parks",North Bay,Quartier général de la gestion des feux de North Bay,Complete,April 2017,Relocation to Jack Garland Airport,"3 operations brought together in new 13,600 sq. ft. space",Nipissing,Northeast,40 Voodoo Cres,P1C 0B8,,"$9,500,000",,Yes,,,,46.365551,-79.403123
48,Communities,"Environment, Conservation and Parks",Thunder Bay,Thunder Bay Provincial Logistics Centre/Fire Management Headquarters Expansion,Complete,December 2017,New construction and renovations ,"More than 59,000 sq. ft. renovated and almost 8,000 sq. ft. added for increased and improved space for staff and better traffic routing",Thunder Bay,Northwest,1580 Arthur St W,P7K 1A6,,"$25,000,000",,Yes,,,http://www.infrastructureontario.ca/Fire-Management-Headquarters/,48.379044,-89.332477
49,Communities,"Environment, Conservation and Parks",Toronto,MECP/MLITSD Science Complex,Planning,To Be Determined,Construction of a new Science Complex to replace the existing facilities at 81A and 125 Resources Road.,New Science Complex,Toronto,Central,Toronto,,,0,,,,,,,
50,Communities,Infrastructure,Aamjiwnaang First Nation,Water Supply Feasibility Study and Design for Community Lot Servicing,Complete,October 2020,Feasibility and design planning to improve water capacity and water supply services to a populated area of the First Nation. ,Increased water distribution capacity for the surrounding area and a more effective water distribution system.,Lambton,Southwest,,,,"$48,750",,Yes,Yes,Yes,,42.935977,-82.416026
51,Communities,Infrastructure,Aamjiwnaang First Nation,Wastewater Feasibility Study for Community Lot Servicing,Complete,May 2018,Feasibility and design planning for a gravity wastewater sewer system on Scott Road.,Improved capacity of the wastewater sewer system.,Lambton,Southwest,,,,"$30,000",,Yes,Yes,Yes,,42.935977,-82.416026
52,Communities,Infrastructure,Aamjiwnaang First Nation,Stormwater Drainage Study,Complete,September 2018,"Drainage studies on surface flooding problem areas of the First Nation,.",Improved drainage and reduced standing water problems. ,Lambton,Southwest,978 Tashmoo,N7T 7H5,,"$30,000",,Yes,Yes,Yes,,42.935999,-82.415988
53,Communities,Infrastructure,Aamjiwnaang First Nation,"Ditch, Swale and Berm Rehabilitation for Lot servicing",Complete,September 2018,"Rehabilitation of the existing stormwater system, including ditch, swale and berm components.",Extended life span for the stormwater conveyance system.,Lambton,Southwest,,,,"$15,570",,Yes,Yes,Yes,,42.935977,-82.416026
54,Communities,Infrastructure,Adjala-Tosorontio,To connect the Loretto area and Weca area water systems in the Township of Adjala Township,Complete,May 2020,Connect the Loretto area and Weca area water systems.,Increased redundancy to the Loretto water system.,Simcoe,Central,"South of Simcoe County Road 50 and Simcoe County Road 1 in the Township of Adjala Township, Loretto, ON L0G 1L0",L0G 1L0,,"$111,884",Yes,Yes,Yes,,,44.078674,-79.935181
55,Communities,Infrastructure,Admaston-Bromley,Replacement of Dillabough Road Stormwater Culvert,Complete,October 2017,"This project will include the replacement of an existing Stormwater Culvert which was due for replacement as part of the road repair due in 2016 according to our Asset Management Plan. Replacement of this culvert will contribute to the prolongation of the life of the road by keeping water off, out of, and away from the road. This project will assist the Township in maintaining our rural stormwater system through culverts, ditches, slope and road design which will reduce the impacts of water running off of land during storm events. The environmental impact of additional runoff can erode watercourses as well as cause flooding after the stormwater collection system is overwhelmed by the additional flow and cause pollutants to enter surface waters during precipitation events. ","Prolonged lifespan of the road, and reduced environmental impact.",Renfrew,East,,,,"$10,500",Yes,Yes,Yes,,,45.535459,-76.925402
56,Communities,Infrastructure,Ajax,Conduct Condition Assessment on Six Stormwater Management Ponds,Complete,November 2018,"Assess the condition of 6 stormwater management ponds at  Ponds # 7, 17, 18, 27, 33 and 50. ",Established priorities for future maintenance work.,Durham,Central,970S Audley Road South,,,"$56,250",Yes,Yes,Yes,,,43.884172,-79.003438
57,Communities,Infrastructure,Ajax,Steele Valley stormwater management pond rehabilitation and repair.,Complete,November 2019,"Alterations to the outlet structure that manages stormwater discharge to Millers Creek during peak storm events,  repair to the access road, installation of a new chain gate and removal of sediment off site.",Maintain the existing wetland and wildlife habitat and prevent localized flooding and erosion issues on Millers Creek. ,Durham,Central,70S Rossland Road West,,,"$184,500",Yes,Yes,Yes,,,43.878904,-79.031453
58,Communities,Infrastructure,Ajax,Storm sewer outfall rehabilitation at Spiers Crescent,Complete,May 2018,"Install an oil/grit separator, and structural repair of the existing storm sewer outfall at Spiers Crescent.",Improved water quality discharged to a large wetland and ultimately to Carruthers Creek.,Durham,Central,78-80 Spiers Crescent,L1S 6Z1,,"$150,000",Yes,Yes,Yes,,,43.832703,-78.992676
59,Communities,Infrastructure,Ajax, Stormwater Quality Control Improvement ,Complete,November 2019,Design and construct a solution to the improve the quality of the stormwater being discharged into Dufferin Creek.,,Durham,Central,430 Westney Road South,,,"$487,500",Yes,Yes,Yes,,,43.835305,-79.034303
60,Communities,Infrastructure,Ajax,Installation of an Oil/ Grit Separator,Complete,November 2018,Installation an oil/grit separator upstream of the storm sewer outfall at Callander Court. ,Improved water quality treatment for approximately 2 hectares of residential stormwater runoff and conformity with treatment standards.,Durham,Central,7 Callander Court,,,"$75,000",Yes,Yes,Yes,,,43.836435,-78.994755
61,Communities,Infrastructure,Ajax,Installation of an Oil/ Grit Separator,Complete,November 2018,Installation an oil/grit separator upstream of the storm sewer outfall at Caldicott Court. ,Improved water quality treatment for approximately 2 hectares of residential stormwater runoff and conformity with treatment standards.,Durham,Central,5S Caldicott Court,L1S 7C2,,"$75,000",Yes,Yes,Yes,,,43.835083,-78.997192
62,Communities,Infrastructure,Ajax,Hermitage Stormwater Management Pond Rehabilitation,Complete,November 2017,Rehabilitate and repair the Hermitage Stormwater Management Pond. ,Significant improvements the a stormwater facility and prevention of basement flooding during storm events.,Durham,Central,99S Church St. North,,,"$61,875",Yes,Yes,Yes,,,43.850161,-79.053028
63,Communities,Infrastructure,Ajax,Fishlock and Heritage Market stormwater management pond rehabilitation.,Complete,November 2019,Repair and rehabilitate two stormwater management  ponds.,"This project will help maintain the existing wetland and wildlife habitat and prevent localized flooding and erosion issues on Millers Creek and Carruthers Creek, respectively.",Durham,Central,4S Fishlock Street,,,"$93,750",Yes,Yes,Yes,,,43.876358,-79.032122
64,Communities,Infrastructure,Alderville First Nation,Decommissioning of 13 wells ,Complete,September 2023,Decommissioning 11 bored/dugwells and 2 drilled wells. ,Improved safe operations and reduced isk of environmental contamination.,Peterborough,East,11696 Line Road 2, KOK 2X,,"$19,923",,Yes,Yes,Yes,,44.182879,-78.06352
65,Communities,Infrastructure,Alderville First Nation,Alderville First Nation - Communal and POE Water Treatment Systems,Planning,March 2025,"This Project is for the rehabilitation and expansion of the water treatment system in the Alderville First Nation. The work includes drilling a new well; replacing small water treatment systems with a high-capacity, communal treatment plant with back-up power; installing an underground reservoir for water storage and high lift pump station; establishing a truck fill connection; installing approximately 750 metres of piping to connect the communal plant to 18 buildings; rehabilitating and upgrading 32 existing point-of-entry (POE) systems, adding 10 residential POE systems; and decommissioning unused wells.",,Peterborough,East,11696 2ND LINE RD,K0K2X0,,0,Yes,Yes,Yes,,,44.1729,-78.0852
66,Communities,Infrastructure,Alfred and Plantagenet,Presqu'île Watermain,Complete,September 2017,Upgrades to the Presqu'île watermain linking the Presqu'île Community to the municipal water system. ,Safer drinking water,Prescott and Russell,East,Unit #2890; Presqu'île Road;RR 1,K0B 1J0,,"$710,588",Yes,Yes,Yes,,,45.6401,-74.9429
67,Communities,Infrastructure,Algonquin Highlands,Replacement of Dainage Culverts on  Dawson Road,Complete,October 2017,Add 4 new drainage culverts on Dawson Road.,,Haliburton,East,,,,"$75,000",Yes,Yes,Yes,,,45.075123,-78.714084
68,Communities,Infrastructure,Algonquins of Pikwakanagan First Nation,Culvert Replacement Project,Complete,July 2018,Replace the culvert on Kokomis Road.  ,Improved drainage and increased environmental protection of the Bonnechere River.,Renfrew,East,,,,"$105,654",,Yes,Yes,Yes,,45.575671,-77.25098
69,Communities,Infrastructure,Alnwick-Haldimand,Grafton Communal Water System - Water Meter Replacement Program. ,Complete,July 2018,Replace 227 residential and 20 commercial water meters with new water meters on and around 10836 County Road #2. ,Reduced meter reading costs and improved water conservation.,Northumberland,East,10836 County Road #2, K0K 2G,,"$62,532",Yes,Yes,Yes,,,43.992025,-78.025416
70,Communities,Infrastructure,Amherstburg,Edgewater Sewage Diversion Project,Complete,December 2019,"Upgrades to pumping station No. 2, construction of a new forcemain and upgrades to pumping station to connect Edgewater Lagoon System to the new Amherstburg Wastewater Treatment Plant",Increased station capacity and reduced risk of environmental contamination,Essex,Southwest,105 Pickering Dr,N9V 1R4,,"$5,866,666",Yes,Yes,Yes,,,42.096084,-83.110647
71,Communities,Infrastructure,Amherstburg,Edgewater pump station and lagoon decommissioning,Complete,March 2020,"Install new forcemain pipes along Country Road 20, upgrade Pump Station No. 22 and decommission the Edgewater wastewater lagoons",,Essex,Southwest,1063 County Rd 20,,,"$3,737,741",Yes,Yes,Yes,Yes,,42.078026,-83.11795
72,Communities,Infrastructure,Amherstburg,Reconstruction of Sanitary Sewers on George and Seymour Streets,Planning,2023,"The Project will replace and reconstruct the sanitary sewer system on George and Seymour streets in the Town of Amherstburg. The work will involve installing approximately 900 metres of sanitary sewer and collection lines, and replacing manholes. The work will also involve asphalt restoration of the affected roadway.",,Essex,Southwest,271 Sandwich Street/Rue South/Sud,N9V2A5,,0,,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects,42.1016,-83.10746
73,Communities,Infrastructure,Animbiigoo Zaagi’igan Anishinaabek (Lake Nipigon Ojibway) First Nation,Water Supply and Feasibility Study,Complete,December 2019,Conduct a water supply/water treatability study to determine the best solution for developing an effective and reliable water supply.,An effective and reliable water supply.,Thunder Bay,Northwest,,,,"$56,250",,Yes,Yes,Yes,,49.72373,-88.61453
74,Communities,Infrastructure,Anishinaabeg of Naongashiing First Nation,Equipment Upgrades at Water Treatment Plant ,Complete,June 2022,"Install new pumps,  in-line chlorine analyzer and turbidity analyzer, and replace Greensand media with Greensand Plus media. ",More secure drinking water and reduced used of chemicals.,Rainy River,Northwest,,P0W 1J0,,"$42,753",,Yes,Yes,Yes,,49.097745,-94.315207
75,Communities,Infrastructure,Anishinaabeg of Naongashiing First Nation,Equipment Upgrades at Wastewater Treatment Plant ,Complete,June 2022,"Replace transfer pump, leaking valves and pipes, install pressure washer and gas detection equipment. ",Improved protection to Lake of the Woods from sewage spills. ,Rainy River,Northwest,,P0W 1J0,,"$17,625",,Yes,Yes,Yes,,49.097745,-94.315207
76,Communities,Infrastructure,Anishinaabeg of Naongashiing First Nation,Councillors' Houses and Meeting Grounds Water treatment Plant Equipment Upgrades,Complete,June 2022,"Replace well pump, install chlorine analyzer and alarm, and replace pressure tank. ",Safer and more secure water supply. ,Rainy River,Northwest,,P0W 1J0,,"$24,000",,Yes,Yes,Yes,,49.097745,-94.315207
