_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
11,Roads and bridges,Infrastructure,Atikameksheng Anishnawbek First Nation,Atikameksheng By-Pass Road Construction,Planning,March 2025,"The Project is for the construction of a new, approximately five kilometre by-pass road in Whitefish Lake, extending from the east end of Hills Street and looping around the community on the east, to north of the community, ending just south of Junction Creek, and will be comprised of approximately two kilometres of asphalt pavement and approximately three kilometres of gravel, and will include a 30-metre causeway made of rip-rap stone through a wetland.",,,Northeast,25 Reserve Road,P0M2M0,,0,Yes,Yes,Yes,,,46.401118,-81.178144
12,Roads and bridges,Infrastructure,Atikokan,Rehabilitation of Sewage Pump Station 5 ,Complete,December 2019,"Install pumps,  pipes, valves, magnetic flowmeters,  miscellaneous mechanical and system upgrades, and upgrade of building envelope. ",Improved operational capability and reliability of the station.,Rainy River,Northwest,59 Maple Cres.,P0T 1C0,,"$312,356",Yes,Yes,Yes,,,48.762407,-91.616276
13,Roads and bridges,Infrastructure,Atikokan,Atikokan Resurfacing and Curbing Project,Planning,October 2026,The Project will upgrade multiple roads in Atikokan.The work involves scraping and removal of asphalt and approximately 7 kilometres of resurfacing. Curbing will also be installed for approximately 3 kilometers within the project boundaries.The following roads will be upgraded:O’Brien St. – From Charleson Pit Rd to Mackenzie Avenue EastMercury Ave East – From O’Brien St. to Maple Cres.Maple Cres. – From Mercury Ave to Birch RoadSpruce Rd. – From Maple Cres. to Birch Rd.Rawn Rd. – From Maple Cres. to approx. 270 m EastBurns St. – From Mackenzie Ave East to Niven St. Gorrie St. – From Mackenzie Ave East to Niven St.Marks St. – From Mackenzie Ave East to Niven St.White St. – From Mackenzie Ave East to Bridge St.Mackenzie Ave East – From White St. to Burns St. Birch Road  - From Mercury Avenue to Maple Cres.Poplar Crescent – From Maple Cres. to end,,Rainy River,Northwest,120 Marks Street,P0T1C0,,0,Yes,Yes,Yes,,,48.763809,-91.620329
14,Roads and bridges,Infrastructure,Bancroft,Replacement of the Old Hastings Road Bridge,Complete,July 2022,"The Project is for the replacement of the Old Hastings Road Bridge, and includes the removal of the existing bridge, replacement with a new, two-lane structure that meets current bridge design requirements, installation of a new barrier system and guide rails, and roadway approach modifications.",,Hastings,East,29860 Hwy 28 Highway,K0L1C0,,0,Yes,Yes,Yes,,,44.963172,-77.79272
15,Roads and bridges,Infrastructure,Blandford-Blenheim,Bridge No. 20 Replacement,Complete,December 2019,Replacement of Bridge No. 20 and reconstruction of the roadway approaches to match the new bridge.,Increased traffic safety,Oxford,Southwest,,,,"$1,758,173",Yes,Yes,,,,43.310279,-80.494788
16,Roads and bridges,Infrastructure,Blandford-Blenheim,Reconstruction of Bridge 24 over the Nith River,Planning,June 2026,"The Project will reconstruct Bridge 24 on Township Road 12 in Blandford-Blenheim.The work involves replacing the existing, one-lane bridge with a two-lane, approximately 60 metre concrete structure comprised of reinforced concrete piers and abutments, a superstructure with a reinforced deck, and barrier walls/guide rails. Erosion protection will be installed and approximately 30 metres of roadway approaches on each end of the bridge will be reconstructed.",This new bridge will improve public safety and traffic flow.,Oxford,Southwest,47 Wilmot Street/Rue South/Sud,N0J1G0,,0,Yes,Yes,Yes,,,43.301956,-80.547085
17,Roads and bridges,Infrastructure,Bluewater,"Replacement of Bridge B35 - Airport Line, North of County Road #83",Under construction,2023,"The Project will replace Bridge B35, located on Airport Line north of County Road 83 in Bluewater.The work includes demolishing the narrow, rigid-frame bridge and replacing it with a wider, approximately 28.7-metre clear span structure that is approximately 0.5 metres higher at the crest to allow for improved drainage. Approximately 500m of road approaches on either side of the bridge will be reconstructed and re-paved, and new guiderails installed.",,Huron,Southwest,14 Mill Avenue,N0M2T0,,0,Yes,Yes,Yes,,,43.36214,-81.50944
18,Roads and bridges,Infrastructure,Bonfield,Sharpes Creek  Culverts,Complete,September 2017,Replacement of the Sharpes Creek twin arch pipe culverts.,Increased traffic safety,Nipissing,Northeast,,,,"$457,397",Yes,Yes,,,,46.268147,-79.047723
19,Roads and bridges,Infrastructure,Brant County,Reconstruction of a Section of King Edward Street,Planning,2023,"The Project will reconstruct approximately one kilometre of King Edward Street between Puttown Road and Bishopsgate Road in Brant County.The work will involve: converting the existing overpass into an interchange at Highway 403,relocating utilities; rehabilitating the subgrade; installing two, single-lane roundabouts; constructing curbs and gutters and an at grade concrete median; widening the road to accommodate a bike lane, grass boulevards and sidewalks or a multi-use trail for pedestrians; culvert realignment and resurfacing the road with asphalt.  All costs related to the installation of a storm sewer collection system are ineligible.","The project will improve the safety and reliability of the road for drivers, cyclists and pedestrians, and support better traffic flow, as well as facilitate active transportation.",Brant,Southwest,26 Park Avenue,N0E1A0,,0,Yes,Yes,Yes,,,43.171052,-80.432857
20,Roads and bridges,Infrastructure,Brighton,County Road 30 Improvements at Old Wooler Road,Complete,February 2018,Improvements to County Road 30.,Increased Traffic Safety,Northumberland,East,County Road 30,,,"$725,000",Yes,Yes,,,,44.148298,-77.794442
21,Roads and bridges,Infrastructure,Brock,Reconstruction of Thorah Sideroad,Complete,September 2019,Reconstruction of a section of Thorah Side Road.,Increased Traffic Safety,Durham,Central,Thorah Side Road,L0E 1E0,,"$1,547,630",Yes,Yes,,,,44.433245,-79.08615
22,Roads and bridges,Infrastructure,Brockton,Replacement of Bridge 0013,Complete,December 2022,"The Project will replace Bridge 0013 on Chepstow Road, east of Side Road 5 in Brockton.The work will include decommissioning and removing the existing bridge, constructing a new bridge of approximately 9 metres, and installing new guardrails and sidewalks.  Approximately 30 metres of approaches and roadway will be rehabilitated and will involve removal of existing asphalt, installation of additional granular base to raise the grade and new asphalt surface.  Center line painting will also be included.",,Bruce,Southwest,100 Scott Street/Rue,N0G2V0,,0,Yes,Yes,Yes,,,44.154203,-81.274528
23,Roads and bridges,Infrastructure,Brooke-Alvinston,Rehabilitation of Sections of Shiloh Line,Complete,October 2021,"The project will rehabilitate approximately 13.74 km of Shiloh Line between Forest Road and the Peak of Mosa Road. Project work will include the recycling of the deteriorated existing asphalt and tar and chip roadway, and the recycled materials will be used for repaving. A minimum of 9 culverts will be replaced where required and gravel shoulders will be upgraded to paved asphalt.",,Lambton,Southwest,3236 River,N0N1A0,,0,Yes,Yes,Yes,,,42.83085,-81.87001
24,Roads and bridges,Infrastructure,"Brudenell, Lyndoch and Raglan",Letterkenny Road Rehabilitation,Complete,March 2018,Rehabilitation of Letterkenny Road.,Increased Traffic Safety,Renfrew,East,Letterkenny Road,K0J 2G0,,"$1,710,000",Yes,Yes,,,,45.360237,-77.419511
25,Roads and bridges,Infrastructure,Burlington,"Inspection, Design and Rehabilitation of Rail Crossing Culverts",Complete,February 2020,Assess  and make recommendations for the design and rehabilitation of 14 storm sewers crossing under the C.N. tracks in the rail corridors. ,"Longer service life of the storm sewers, and protection and safety of railway operations.   ",Halton,Central,,,,"$238,553",Yes,Yes,Yes,,,43.361714,-79.798982
26,Roads and bridges,Infrastructure,Burlington,Replacement of Plains Road West Culverts ,Complete,August 2018,Remove and upgrade 7 corrugated steel pipe culverts.,,Halton,Central,,,,"$262,500",Yes,Yes,Yes,,,43.295147,-79.867266
27,Roads and bridges,Infrastructure,Burpee and Mills,Reconstruction and Rehabilitation of Union Road,Complete,October 2019,"Widening of Union Road, including culvert replacement and realignment.",Increased traffic safety,Manitoulin,Northeast,,P0P 1E0,,"$235,569",Yes,Yes,,,,45.770947,-82.559432
28,Roads and bridges,Infrastructure,Calvin,Replacement of the Hackenbrook Bridge,Complete,October 2018,Replacement of Hackenbrook Bridge including road widening.,Increased traffic safety,Nipissing,Northeast,,P0H 1V0,,"$430,000",Yes,Yes,,,,46.242336,-78.918591
29,Roads and bridges,Infrastructure,Cambridge,Upgrade of the Moyer's Bridge and Reconstruction of McLean Road,Complete,August 2021,"The project will upgrade the 6.8 metre Moyer's Bridge and reconstruct approximately 1.9 kilometres of McLean Road from County Road 34 to the McLean Road and Concession 7 intersection.  Project work will include the installation of barriers and guiderails on the bridge and replace the underlying structure. The road reconstruction will remove the existing asphalt, grade and compact the sub­-base and shoulders, and re-pave the road.",,Waterloo,Southwest,Building 7404 7404 WELLINGTON ROAD 34,N0B2J0,,0,Yes,Yes,Yes,,,43.454501,-80.162836
30,Roads and bridges,Infrastructure,Carling,Dillon Road Improvements,Complete,October 2022,"The Project will reconstruct approximately 9.5 kilometres of Dillon Road in Carling.The work will begin at Hwy 559 and Dillon Road continuing past Parker Lane to the access point of Georgian Bay, and involves re-aligning certain sections, tree clearing, widening rock cuts to improve sight lines, and asphalt resurfacing.","The project will improve road safety and reliability, facilitate active transportation, reduce lifecycle costs and service interruptions, extend the asset life, and improve access to the Dillon Cove public boat launch.",Parry Sound,Northeast,2 West Carling Road,P0G1G0,,0,Yes,Yes,Yes,,,45.430375,-80.274498
31,Roads and bridges,Infrastructure,Carlow-Mayo,Boulter Road Rehabilitation,Complete,September 2018,Rehabilitation of Boulter Road.,Increased Traffic Safety,Hastings,East,Whytes Rd / Boulter Rd,K0L 1G0,,"$1,900,000",Yes,Yes,,,,45.229297,-77.644761
32,Roads and bridges,Infrastructure,Casey,Belanger Bridge Replacement,Complete,November 2018,Replacement of the Belanger Bridge.,Increased traffic safety,Timiskaming,Northeast,Wright Creek Rd 3,P0J 1A0,,"$1,780,200",Yes,Yes,,,,47.638706,-79.557595
33,Roads and bridges,Infrastructure,Central Huron,"Water, Wastewater, Stormwater, and Road Infrastructure Rehabilitation",Complete,November 2019,"Rehabilitation of water, wastewater, stormwater and road infrastructure on William Street, Townsend Street, and Kirk Street in the town of Clinton.",Increased traffic safety,Huron,Southwest,,N0M 1L0,,"$1,209,809",Yes,Yes,,,,43.614244,-81.535466
34,Roads and bridges,Infrastructure,Centre Wellington,Bridge No. 27-WG Replacement,Complete,June 2018,Replacement of Bridge No. 27-WG.,Increased Traffic Safety,Wellington,Southwest,Sideroad 20,,,"$646,346",Yes,Yes,,,,43.814086,-80.388503
35,Roads and bridges,Infrastructure,Chamberlain,Replacement of Bailey Bridge,Complete,November 2019,Replacement of the Bailey Bridge on Chamberlain Road 5.,Increased traffic safety,Timiskaming,Northeast,,P0J 1H0,,"$665,600",Yes,Yes,,,,47.89876,-79.94849
36,Roads and bridges,Infrastructure,Chapple,Ahrens Bridge Replacement,Complete,October 2019,Replacement of the Ahrens Bridge and reconstructino of approaches on Sturgeon Creek Road between Barwick Road and Hwy 71.,Increased traffic safety,Rainy River,Northwest,,P0W 1A0,,"$894,768",Yes,Yes,,,,48.70684,-93.957584
37,Roads and bridges,Infrastructure,Chapple,Rehabilitation of Off Lake Road Culvert,Complete,July 2021,"The Project will replace an existing 5.8 meter span concrete box culvert on Off Lake Road in the Township of Chapple with a new corrugated steel pipe group of equal hydraulic capacity.  Changes to the roadway, if any, will be minimal.  The work will involve complete removal of the existing structure, the placement of new corrugated steel pipes and the placement of traffic barriers (steel beam guiderails with end treatments) at the approaches to and over the culvert.All costs related to the rehabilitation or replacement of underground infrastructure including watermains, are ineligible for reimbursement.","This will increase residents' safety and reduce asset failure and service interruptions, extending the culvert's lifespan.",Rainy River,Northwest,54 Barwick Road,P0W1A0,,0,Yes,Yes,Yes,,,48.752048,-93.851683
38,Roads and bridges,Infrastructure,Chatham-Kent,Fifth Street Bridge Rehabilitation,Complete,June 2018,Rehabilitation of the Fifth Street Bridge.,Increased Traffic Safety,Chatham-Kent,Southwest,Fifth St,,,"$2,000,000",Yes,Yes,,,,42.406578,-82.18573
39,Roads and bridges,Infrastructure,Chisholm,Replacement of River Road Bridge No. 4,Complete,October 2019,Replacement of River Road Bridge No. 4 with a new two lane bridge.,Increased traffic safety,Nipissing,Northeast,,P0H 1Z0,,"$680,935",Yes,Yes,,,,46.155844,-79.247524
40,Roads and bridges,Infrastructure,Clarington,Reconstruction of Leskard Road Guide Rails,Complete,May 2018,Installation of a steel beam guide rail on Leskard Road.,Increased Traffic Safety,Durham,Central,Leskard Road,L0B 1M0,,"$17,110",Yes,Yes,,,,44.004184,-78.638166
41,Roads and bridges,Infrastructure,Clearview,New Construction on Locke Avenue Water Supply Pipeline. ,Complete,November 2017,install 80 meters of piping on Scott Ave. from Campground to Locke Avenue.ts,"More reliable access to safe drinking water, and improved ability to meet projected growth.",Simcoe,Central,,,,"$132,788",Yes,Yes,Yes,,,44.4184,-80.0957
42,Roads and bridges,Infrastructure,Cobourg,Harden St bridge rehabilitation,Complete,February 2018,Rehabilitation of the Harden Street Bridge.,Increased Traffic Safety,Northumberland,East,Harden St,,,"$216,172",Yes,Yes,Yes,,,43.963704,-78.183894
43,Roads and bridges,Infrastructure,Coleman,Replacement of Larose Bridge,Complete,September 2022,"The Project is for the complete removal of the Larose Bridge, a one-lane, 7-span structure along Kerr Lake Road in Coleman, including existing piers, and replacement with a new, two-lane, 87.9m, 3-span, concrete deck over steel girders overhead bridge.  This will include integral abutments, piers, approach slabs, steel guiderails, waterproofing, asphalt paving, and a sidewalk to maintain pedestrian access.",,Timiskaming,Northeast,937907 Marsh Bay Road,P0J1C0,,0,Yes,Yes,Yes,,,47.398503,-79.676474
44,Roads and bridges,Infrastructure,Collingwood,Hume Street Reconstruction,Complete,January 2017,"Includes improvements to roadway pavement, turning lanes, traffic signals and drainage facilities, as well as associated water and wastewater work","Reduced potential for ground contamination and flooding, enhanced fire protection, traffic flow, emergency response times, hospital access and pedestrian safety",Simcoe,Central,Hume St,L9Y 1V4,,"$2,000,000",Yes,Yes,Yes,,,,
45,Roads and bridges,Infrastructure,Collingwood,Reconstruction of Mountain Road,Planning,November 2026,"The Project is for the reconstruction of approximately 1.2 kilometres of Mountain Road, from Tenth Line to Cambridge Street, and the reconstruction of Mountain Road Bridge in Collingwood. The work involves road construction of a three lane cross-section with a paved multi-use trail on the south side, paved bicycle shoulder on both sides of the street, a sidewalk on the north side of the street, and signalization of the pedestrian crossing at the west side of the Mountain Road Bridge and the trail, as well as the rehabilitation of  Mountain Road Bridge and the replacement of the intersection of Mountain Road and Tenth Line with a roundabout.NOTE: Sanitary and watermain replacement costs are not eligible.",,Simcoe,Central,97 Hurontario Street/Rue,L9Y3Z5,,0,Yes,Yes,Yes,,,44.5005,-80.2475
46,Roads and bridges,Infrastructure,Cornwall,Ninth St. / Marleau Ave. widening and reconstruction ,Complete,October 2017,Reconstruction of Marlborough Street to Alice Street and widening of Ninth Street to Marleau Avenue.,Increased Traffic Safety,"Stormont, Dundas and Glengarry",East,Marleau Avenue,K6H 2V7,,"$1,666,000",Yes,Yes,Yes,,,45.032,-74.721
47,Roads and bridges,Infrastructure,Cornwall,Upgrades to a Section of Lemay Street,Planning,July 2024,"The Project is for the upgrade of approximately 700 metres of Lemay Street, from Aubin Avenue to east of Sydney Street in Cornwall.  The work involves reconstructing and widening the road, installing bike lanes, sidewalks, and construction of a roundabout at the intersection of Lemay Street, Sydney Street, 13th Street and Reneal Street.",,"Stormont, Dundas and Glengarry",East,360 Pitt Street/Rue,K6H5T9,,0,Yes,Yes,Yes,,,45.035577,-74.736827
48,Roads and bridges,Infrastructure,Dorion,Replacement of Ouimet Canyon Road Bridge over Coldwater Creek,Complete,July 2019,Replacement of Ouimet Canyon Road Bridge over Coldwater Creek with a steel multi-plate arch culvert.,Increased traffic safety,Thunder Bay,Northwest,,P0T 1K0,,"$1,328,400",Yes,Yes,,,,48.762585,-88.605097
49,Roads and bridges,Infrastructure,Douro-Dummer,Twelfth Line Road Dummer Improvements,Complete,June 2019,Improvements to Twelfth Line Road.,Increased Traffic Safety,Peterborough,East,Twelfth Line Road Dummer RR2,K0L 2V0,,"$830,897",Yes,Yes,,,,44.425123,-77.942626
50,Roads and bridges,Infrastructure,Dutton-Dunwich,Replacement of the Homestead Bridge,Complete,July 2019,Replacement of Homestead Bridge to meet new regulations as required.,Increased traffic safety,Elgin,Southwest,,N0L 2P0,,"$642,743",Yes,Yes,,,,42.676375,-81.383774
51,Roads and bridges,Infrastructure,Dutton-Dunwich,Ash Line Culvert Replacement and Resurfacing,Complete,July 2022,"This project is for the rehabilitation of approximately 800m of Ash Line involving the replacement of two culverts and the installation of a new culvert with an approximate 4.2m - 6.0m span.  Existing pipes and headwalls will be removed, and fill will be installed on existing roadway and slopes to raise the road height by approximately 3m.  The roadway will be reconstructed and realigned (where required) with recommended geotechnical base, erosion control measures will be applied (e.g. hydro seed) and guide rails will be installed.",,Elgin,Southwest,199 Currie Road,N0L1J0,,0,Yes,Yes,Yes,,,42.617248,-81.468001
52,Roads and bridges,Infrastructure,Dysart et al,Rehabilitation of the Oblong Lake Narrows Bridge,Complete,November 2018,"Rehabilitation of Oblong Lake Narrows Bridge, including new barriers/railings.",Increased traffic safety,Haliburton,East,,K0M 1S0,,"$649,789",Yes,Yes,,,,45.17807,-78.423782
53,Roads and bridges,Infrastructure,East Ferris,Reconstruction of MacPherson Drive,Complete,August 2018,"Reconstruction of MacPherson Drive, from Centennial Crescent to the end of MacPherson Drive.",Increased traffic safety,Nipissing,Northeast,,P0H 1K0,,"$708,521",Yes,Yes,,,,46.30816,-79.28736
54,Roads and bridges,Infrastructure,East Garafraxa,Improvements to Bridge No. 7 on the 12th Line,Complete,December 2019,Replacement or rehabilitation of Bridge No. 7 on the 12th Line over the Grand River. ,Increased traffic safety,Dufferin,Central,,,,"$1,900,000",Yes,Yes,,,,43.852029,-80.283856
55,Roads and bridges,Infrastructure,East Hawkesbury,Grande Montee Road Reconstruction,Complete,December 2017,Reconstruction of Grande Montee Road.,Increased Traffic Safety,Prescott and Russell,East,Grande Montee Road,K0B 1B0,,"$1,087,393",Yes,Yes,,,,45.496221,-74.412858
56,Roads and bridges,Infrastructure,Elgin County,Miller Road Reconstruction,Complete,October 2017,"Reconstruction of Miller Road, including installation of a new watermain and new sewers.",Increased Traffic Safety,Elgin,Southwest,Miller Road,N0J 1Y0,,"$2,353,314",Yes,Yes,,,,42.665163,-81.511572
57,Roads and bridges,Infrastructure,Englehart,Reconstruction of the Krugerdorf Bridge,Under construction,2023,"The Project is for the reconstruction of the Krugerdorf Bridge, located on Pacaud Chamberlain Boundary Road approximately 750 metres east of Wawbewawa Road in Chamberlain.The work involves removing the existing bridge and abutments; constructing new abutments; installing a new approximately 40- metre, single-span modular structure with a steel beam guiderail and pipe sub-drain; placing geotextile and riprap on the slopes for erosion protection; and re-grading the bridge approaches.","Overall, the project contributes to improved and more reliable road infrastructure in the Township of Chamberlain.",Timiskaming,Northeast,287237 Sprucegrove Road,P0J1H0,,0,Yes,Yes,Yes,,,47.928314,-79.900268
58,Roads and bridges,Infrastructure,Erin,Hillsburgh Dam Bridge Reconstruction,Complete,December 2021,Construction of a new bridge over Hillsburgh Dam on Station Street.,Increased traffic safety,Wellington,Southwest,,N0B 1Z0,,"$1,576,988",Yes,Yes,,,,43.78718,-80.14203
59,Roads and bridges,Infrastructure,Erin,Replacement of the 8th Line Bridge,Complete,September 2022,"The Project is for the replacement of the 8th Line Bridge with a new 2 lane bridge.  This project will include the removal of the existing structure, construction of a new single-span structure with reinforcing steel bar, H-piles and new decking.  Project work will also include dewatering, waterproofing, sediment and erosion controls, and the installation of guiderails.  Approximately 150 m of approach work will be required to adjust the road alignment to meet the new bridge.",,Wellington,Southwest,5684 Trafalgar Road Road,N0B1Z0,,0,Yes,Yes,Yes,,,43.77187,-80.09358
60,Roads and bridges,Infrastructure,Erin,Hillsburgh Dam Bridge Reconstruction,Complete,September 2020,Construction of a new bridge over Hillsburgh Dam on Station Street.,Increased Traffic Safety,Wellington,Southwest,,N0B 1Z0,,"$1,576,988",Yes,Yes,,,,43.78718,-80.14203
61,Roads and bridges,Infrastructure,Fort Frances,Colonization Road East Reconstruction,Complete,March 2018,Watermain replacement and road reconstruction,"Along with roadwork, watermains, sanitary and storm sewers all upgraded",Rainy River,Northwest,Colonization Rd E,P9A 1P5,,"$1,896,046",Yes,Yes,Yes,,,,
62,Roads and bridges,Infrastructure,Gananoque,Replacement of the Hudson Bridge,Complete,October 2019,"Replacement of the Hudson Bridge, including abutment rehabilitation.",Increased traffic safety,Leeds and Grenville,East,,K7G 2T6,,"$1,404,531",Yes,Yes,,,,44.330756,-76.167613
63,Roads and bridges,Infrastructure,Georgian Bay,Reconstruction of Ogemawahj Road and Twelve Mile Bay Road,Complete,June 2021,"The Project is for the rehabilitation of approximately 1.9 kilometres of Ogemawahj Road from Twelve Mile Bay Road to King Bay Marina and approximately 467 meters of Twelve Mile Bay Road from Ogemawahj Road to Moose Deer Point Marina. The work involves removing the existing road surface, improving the sub-base material, raising the road base, replacing culverts as required, resurfacing and installing 225 metres of guard rail.",,Muskoka,Central,99 Lone Pine road,L0K1S0,,0,Yes,Yes,Yes,,,45.074367,-80.010349
64,Roads and bridges,Infrastructure,Gore Bay,Rehabilitation of the Gore Bay-Manitoulin Airport,Planning,2024,"The Project will upgrade the Gore Bay-Manitoulin Airport and will include the construction of a new air terminal building and an approximately 71.5 square meter helipad. Project work will also include an upgrade of the field electrical centre, the installation of airfield lighting and emergency power systems, and enhanced security and wildlife fencing. Costs associated with the reconstruction of the Airport Service Road and the acquisition of a new sander/sweeper are not eligible components of the project.","This project will improve passenger safety and security, emergency responses and the flow of traffic.",Manitoulin,Northeast,15 Water ST,P0P1H0,,0,Yes,Yes,Yes,,,45.882125,-82.572814
65,Roads and bridges,Infrastructure,Gravenhurst,Snider's Bay Bridge Replacement,Complete,January 2022,This project is for the replacement of the current Snider's Bay Bridge which will be removed and replaced with 2 new culverts approximately 20 metres in length.  Filling material will be added to stabilize side slopes between the ends of the culverts and edge of shoulders.  The existing road will be widened including pavement width and shoulder work in order to accommodate the installation of new steel beam guide rails.,,Muskoka,Central,Suite 3 5 PINERIDGE GATE,P1P1Z3,,0,Yes,Yes,Yes,,,44.95098,-79.44307
66,Roads and bridges,Infrastructure,Greater Madawaska,Reconstruction of Barrett Chute Road,Complete,October 2019,"Reconstruction of Barrett Chute Road, including alignment improvements.",Increased traffic safety,Renfrew,East,,K0J 1H0,,"$1,248,410",Yes,Yes,,,,45.271084,-76.775635
67,Roads and bridges,Infrastructure,Greater Sudbury,Maley Drive Extension ,Under construction,2024,Maley Drive Extension ,,Sudbury,Northeast,Maley Drive,,,"$53,400,000",Yes,Yes,Yes,,https://www.greatersudbury.ca/live/transportation-parking-and-roads/roads/maley-drive-extension/ ,,
68,Roads and bridges,Infrastructure,Greater Sudbury,Culvert Replacement,Complete,November 2018,Replace the culvert at Mikkola Road.,,Sudbury,Northeast,61 Mikkola Road,P3Y 1A5,,"$56,947",Yes,Yes,Yes,,,46.418892,-81.118873
69,Roads and bridges,Infrastructure,Greater Sudbury,Culvert Replacement  ,Complete,March 2019,Replace the culvert at Westmount Avenue.,,Sudbury,Northeast,430 Westmount Avenue,P3A 5T9,,"$382,335",Yes,Yes,Yes,,,46.50684,-80.946159
70,Roads and bridges,Infrastructure,Greater Sudbury,Culvert Replacement,Complete,November 2018,Replace the culvert at Yorkshire Drive.,,Sudbury,Northeast,1830 Yorkshire Drive,P3N 1R9,,"$182,838",Yes,Yes,Yes,,,46.627339,-81.015936
71,Roads and bridges,Infrastructure,Greater Sudbury,Culvert Replacement,Complete,November 2018,Replace the culvert at Manninen Road.,,Sudbury,Northeast,68 Manninen Road,P0M 3H0,,"$75,215",Yes,Yes,Yes,,,46.338834,-81.509916
72,Roads and bridges,Infrastructure,Greater Sudbury,Culvert Replacement,Complete,November 2018,Replace the culvert at Edward Avenue.,,Sudbury,Northeast,122 Edward Avenue,P0M 1M0,,"$132,203",Yes,Yes,Yes,,,46.4847,-80.8499
73,Roads and bridges,Infrastructure,Greater Sudbury,Culvert Replacement,Complete,November 2018,Replace the culvert at Seguin Street.,,Sudbury,Northeast,136 Seguin Street,P0M 1L0,,"$148,979",Yes,Yes,Yes,,,46.609359,-81.104686
