_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
18,Child care,Education,Bracebridge,Macaulay Tree House,Complete,September 2018,Expansion of existing building,Addition to accommodate 73 community-based child care spaces,Muskoka,Central,50 THE GRANITE BLUFF,P1L1L4,,"$1,926,570",,Yes,,,,45.053205,-79.296459
19,Child care,Education,Bradford-West Gwillimbury,Chris Hadfield Public Elementary School,Complete,September 2020,Expansion of existing school,Addition to accommodate 49 child care spaces,Simcoe,Central,211 WEST PARK AVE,L3Z0B9,,"$1,512,510",,Yes,,,,44.10523,-79.58556
20,Child care,Education,Brampton,Hickory Wood Public Elementary School,Complete,January 2021,Renovation of existing school,Renovation to accommodate 34 child care spaces,Peel,Central,630 RAY LAWSON BLVD,L6Y4W8,,"$1,427,893",,Yes,,,,43.64629,-79.74281
21,Child care,Education,Brampton,Massey Public Elementary School,Under construction,January 2025,Renovation of existing school,Renovation to accommodate 49 child care spaces,Peel,Central,95 MASSEY ST,L6S3A3,,"$1,994,793",,Yes,,,,43.73791,-79.74674
22,Child care,Education,Brampton,Worthington Public Elementary School,Complete,December 2020,Renovation of existing school,Renovation to accommodate 49 child care spaces,Peel,Central,71 WORTHINGTON AVE,L7A1N9,,"$1,163,870",,Yes,,,,43.68444,-79.81877
23,Child care,Education,Brampton,Shaw Public Elementary School,Under construction,2024,Renovation of existing school,Renovation to accommodate 49 child care spaces,Peel,Central,10 FATHER TOBIN RD,L6R3K2,,"$1,536,658",,Yes,,,,43.77533,-79.75133
24,Child care,Education,Brampton,école élémentaire publique Carrefour-des-jeunes,Complete,September 2022,Expansion of existing school,Addition to accommodate 49 child care spaces and 1 EarlyON room,Peel,Central,375 CENTRE ST N,L6V4N4,,"$1,632,511",,Yes,Yes,,,43.70714,-79.77187
25,Child care,Education,Brampton,Brampton Southwest Library,Complete,September 2019,Renovation of existing building,Renovation to accommodate 1 community-based EarlyON room,Peel,Central,8405 FINANCIAL DR,L6Y0C1,,"$250,000",,Yes,,,,43.636007,-79.779594
26,Child care,Education,Brampton,Brampton Northeast Supercentre,Complete,September 2019,Renovation of existing building,Renovation to accommodate 3 community-based EarlyON rooms,Peel,Central,11825 BRAMALEA RD,L6R3S9,,"$750,000",,Yes,,,,43.771651,-79.78051
27,Child care,Education,Brampton,Caledon East,Complete,September 2020,Renovation of existing building,Renovation to accommodate 1 community-based EarlyON room,Peel,Central,6215 OLD CHURCH RD,L7C1J7,,"$500,000",,Yes,,,,43.873805,-79.860737
28,Child care,Education,Brampton,Eastbridge Plaza,Complete,September 2019,Renovation of existing building,Renovation to accommodate 2 community-based EarlyON rooms,Peel,Central,10 EARLSBRIDGE BLVD,L7A3P1,,"$500,000",,Yes,,,,43.702598,-79.829018
29,Child care,Education,Brampton,Fletcher's Meadow Plaza,Complete,September 2019,Renovation of existing building,Renovation to accommodate 2 community-based EarlyON rooms,Peel,Central,31 WORTHINGTON AVE,L7A2Y7,,"$750,000",,Yes,,,,43.682982,-79.816638
30,Child care,Education,Brampton,Gore Meadows,Complete,September 2020,Renovation of existing building,Renovation to accommodate 5 community-based EarlyON rooms,Peel,Central,10100 THE GORE RD,L6P0A6,,"$1,250,000",,Yes,,,,43.792867,-79.692889
31,Child care,Education,Brampton,Inglewood Community,Complete,September 2020,Expansion of existing building,Addition to accommodate 39 community-based child care spaces and 1 community-based EarlyON room,Peel,Central,15825 MCLAUGHLIN RD,L7C1H4,,"$1,500,000",,Yes,,,,43.799717,-79.937213
32,Child care,Education,Brampton,Springdale,Complete,September 2019,Renovation of existing building,Renovation to accommodate 2 community-based EarlyON rooms,Peel,Central,51 MOUNTAINASH RD,L6R1W0,,"$500,000",,Yes,,,,43.760426,-79.72755
33,Child care,Education,Brampton,YMCA Kennedy,Complete,September 2018,Renovation of existing school,Addition and renovation to accommodate 15 community based child care spaces,Peel,Central,9996 KENNEDY RD N,L6V4G3,,0,,,,,,43.714974,-79.776496
34,Child care,Education,Brampton,Holy Spirit Catholic Elementary School,Complete,March 2022,Renovation of existing school,Renovation to accommodate 49 child care spaces,Peel,Central,25 BLOOMSBURY AVE,L6P1W9,,"$1,700,591",,Yes,,,,43.78429,-79.72915
35,Child care,Education,Brampton,Agnes Taylor Public Elementary School,Planning,September 2024,Expansion of existing school,Addition to accommodate 73 child care spaces,Peel,Central,80 BEECH ST,L6V1V6,,"$2,139,296",,Yes,,,,43.69775,-79.75727
36,Child care,Education,Brighton,Brighton Public Elementary School,Complete,September 2023,Expansion of existing school,Addition to accommodate 10 child care spaces,Northumberland,East,24 ELIZABETH ST,K0K1H0,,"$836,906",Yes,Yes,,,,44.04299,-77.73277
37,Child care,Education,Brock,McCaskill's Mills Public Elementary School,Complete,January 2021,Renovation of existing school,Renovation to accommodate 10 child care spaces,Durham,Central,85 ALBERT ST,L0E1E0,,"$504,171",,Yes,,,,44.34684,-79.04541
38,Child care,Education,Brock,Sunderland Public Elementary School,Under construction,September 2024,Expansion of existing school,Addition to accommodate 49 child care spaces,Durham,Central,41 ALBERT ST,L0C1H0,,"$1,604,472",,Yes,,,,44.25988,-79.06553
39,Child care,Education,Brockton,St. Teresa of Calcutta Catholic Elementary School,Complete,November 2020,Expansion of existing school,Addition to accommodate 39 child care spaces,Bruce,Southwest,81 HWY 9 RR 3,N0G2V0,,"$1,628,489",,Yes,,,,44.11552,-81.14783
40,Child care,Education,Burk's Falls,Land of Lakes Senior Public Elementary School,Complete,September 2018,Expansion of existing school,Addition to accommodate 1 EarlyON room,Parry Sound,Northeast,92 ONTARIO ST,P0A1C0,,"$599,963",,Yes,,,,45.61517,-79.40577
41,Child care,Education,Burlington,Brant Hills Public Elementary School,Complete,October 2018,Renovation of existing school,Renovation to accommodate 48 child care spaces,Halton,Central,2330 DUNCASTER DR,L7P4S6,,"$323,172",,Yes,,,,43.36496,-79.84575
42,Child care,Education,Burlington,Frontenac Public Elementary School,Complete,June 2022,Renovation of existing school,Renovation to accommodate 39 child care spaces,Halton,Central,5140 PINEDALE AVE,L7L3V4,,"$1,469,908",,Yes,,Yes,,43.37414,-79.75294
43,Child care,Education,Burlington,East Plains Co-operative,Complete,September 2018,Renovation of existing school,Renovation to accommodate 73 community based child care spaces,Halton,Central,375 PLAINS RD E,L7T2C7,,0,,,,,,43.316149,-79.841066
44,Child care,Education,Burlington,ROCK,Complete,September 2020,Expansion of existing building,Addition to accommodate 1 community-based EarlyON room,Halton,Central,710 CUMBERLAND AVE,L7N3M9,,"$510,000",,Yes,,,,43.352103,-79.787111
45,Child care,Education,Burlington,école élémentaire publique Renaissance,Planning,September 2025,Expansion of existing school,Addition to accommodate 49 child care spaces,Halton,Central,1226 LOCKHART RD,L7S1H1,,"$1,636,562",,Yes,,,,43.32084,-79.80753
46,Child care,Education,Caledon,Caledon Central Public Elementary School,Complete,September 2018,Renovation of existing school,Renovation to accommodate 39 child care spaces,Peel,Central,18357 KENNEDY RD,L7K1Y7,,0,,,,Yes,,43.87111,-79.98329
47,Child care,Education,Caledon,Palgrave Public Elementary School,Complete,November 2020,Renovation of existing school,Renovation to accommodate 49 child care spaces,Peel,Central,8962 PATTERSON SIDEROAD,L7E0L2,,"$1,033,916",,Yes,,,,43.9473435,-79.8330385
48,Child care,Education,Cambridge,Cambridge Family Early Years & EarlyON,Complete,September 2020,Renovation of existing building,Renovation to accommodate 3 community-based EarlyON rooms,Waterloo,Southwest,73 WATER ST N,N1R3C5,,"$250,000",,Yes,,,,43.361395,-80.314521
49,Child care,Education,Cambridge,Saginaw Public Elementary School,Complete,September 2022,Expansion of existing school,Addition to accommodate 88 child care spaces,Waterloo,Southwest,740 SAGINAW PKY,N1T1V6,,"$3,903,649",,Yes,,Yes,,43.39369,-80.27894
50,Child care,Education,Carleton Place,Carleton Place Child Care,Complete,September 2018,Expansion of existing building,Addition and renovation to accommodate 91 community-based child care spaces,Lanark,East,3 FRANCIS ST,K7C0C1,,"$2,915,000",,Yes,,,,45.143689,-76.135081
51,Child care,Education,Casselman,Centre pour l'enfant et la famille ON y va,Complete,September 2018,Renovation of existing building,Renovation to accommodate 1 community-based EarlyON room,Prescott and Russell,East,676 PRINCIPALE,K0A1M0,,"$260,000",,Yes,,,,45.309809,-75.083765
52,Child care,Education,Cavan-Monaghan,Crestwood Public Secondary School,Complete,September 2019,Renovation of existing school,Renovation to accommodate 25 child care spaces,Peterborough,East,1885 SHERBROOKE ST W,K9J0E5,,"$502,881",,Yes,,,,44.28665,-78.38159
53,Child care,Education,Central Frontenac,Outreach in North Frontenac,Complete,September 2018,Renovation of existing building,Renovation to accommodate 1 community-based EarlyON room,Frontenac,East,1004 ART DUFFY RD,K0H2P0,,"$50,000",,Yes,,,,44.720477,-76.923902
54,Child care,Education,Central Manitoulin,Central Manitoulin Public Elementary School,Complete,September 2018,Renovation of existing school,Renovation to accommodate 15 child care spaces,Manitoulin,Northeast,56 YONGE ST,P0P1S0,,"$327,711",,Yes,,Yes,,45.7297,-82.16658
55,Child care,Education,Centre Wellington,Wellington Place Early Learning & Child Care,Complete,September 2019,Expansion of existing building,Addition to accommodate 64 community-based child care spaces,Wellington,Southwest,536 WELLINGTON RD 18,N1M2W3,,"$2,080,000",,Yes,,,,43.693394,-80.399479
56,Child care,Education,Champlain,École élémentaire catholique Saint-Grégoire,Complete,September 2020,Renovation of existing school,Renovation to accommodate 39 child care spaces,Prescott and Russell,East,50 HOME ST,K0B1R0,,"$262,169",,Yes,Yes,,,45.52153,-74.64891
57,Child care,Education,Chatham-Kent,Indian Creek Road Public Elementary School,Complete,March 2020,Expansion of existing school,Addition to accommodate 49 child care spaces,Chatham-Kent,Southwest,511 INDIAN CREEK RD W,N7M0P5,,"$2,831,523",,Yes,,Yes,,42.37852,-82.18144
58,Child care,Education,Chatham-Kent,Indigenous Child Care Chatham,Complete,September 2019,Expansion of existing building,Addition and renovation to accommodate 49 community-based child care spaces,Chatham-Kent,Southwest,25 EIGHTH ST,N7M4J4,,"$1,560,000",,Yes,,,,42.415832,-82.199229
59,Child care,Education,Chatham-Kent,Indigenous Child Care Wallaceburg,Complete,September 2019,Expansion of existing building,Addition and renovation to accommodate 49 community-based child care spaces,Chatham-Kent,Southwest,1541 DUFFERIN AVE,N8A2W8,,"$1,560,000",,Yes,,,,42.579966,-82.3833
60,Child care,Education,Chatham-Kent,May Court Child Care,Complete,September 2018,Expansion of existing building,Addition and renovation to accommodate 73 community-based child care spaces,Chatham-Kent,Southwest,275 MCNAUGHTON AVE WEST,N7L1R8,,"$1,300,000",,Yes,,,,42.408481,-82.209633
61,Child care,Education,Clarence-Rockland,Rockland Public Elementary School,Complete,January 2020,Renovation of existing school,Renovation to accommodate 39 child care spaces,Prescott and Russell,East,999 GIROUX ST,K4K1C2,,"$675,725",,Yes,,,,45.54567,-75.2867
62,Child care,Education,Clarence-Rockland,École élémentaire catholique Sacré-Cœur,Complete,June 2023,Renovation of existing school,Renovation to accommodate 15 child care spaces,Prescott and Russell,East,2233 DOLLARD ST,K0A1E0,,"$262,169",,Yes,Yes,,,45.43703,-75.15782
63,Child care,Education,Clarence-Rockland,Centre pour l'enfant et la famille ON y va,Complete,September 2018,Renovation of existing building,Renovation to accommodate 2 community-based EarlyON rooms,Prescott and Russell,East,2303 RUE LAURIER,K4K1L7,,"$520,000",,Yes,,,,45.537884,-75.296526
64,Child care,Education,Clarington,John M James Public Elementary School,Complete,September 2019,Renovation of existing school,Renovation to accommodate 25 child care spaces,Durham,Central,175 MEARNS AVE,L1C5C6,,"$293,068",,Yes,,,,43.92419,-78.6741
65,Child care,Education,Cochrane,Town of Cochrane Child Care,Complete,September 2018,Expansion of existing building,Addition to accommodate 10 community-based child care spaces,Cochrane,Northeast,435 TENTH AVE,P0L1C0,,"$800,000",,Yes,,,,49.069757,-81.019783
66,Child care,Education,Cornwall,École élémentaire catholique Marie-Tanguay,Complete,February 2022,Expansion of existing school,Addition to accommodate 10 child care spaces,"Stormont, Dundas and Glengarry",East,1500 HOLY CROSS BLVD,K6H2X1,,"$608,536",,Yes,,,,45.03619,-74.69659
67,Child care,Education,Dryden,New Prospect Public Elementary School,Complete,September 2018,Renovation of existing school,Renovation to accommodate 31 child care spaces,Kenora,Northwest,289 WICE RD,P8N3H6,,"$169,358",,Yes,,,,49.79332,-92.83751
68,Child care,Education,Dryden,Open Roads Public Elementary School,Complete,January 2018,Renovation of existing school,Renovation to accommodate 24 child care spaces,Kenora,Northwest,20 DAVIS ST,P8N1R4,,"$361,075",,Yes,,,,49.7736,-92.84046
69,Child care,Education,Dryden,Dryden Children's Resource/EarlyON Dryden,Complete,September 2018,Renovation of existing building,Renovation to accommodate 40 community-based child care spaces and 1 community-based EarlyON room,Kenora,Northwest,113 ALBERT ST,P8N1J1 ,,"$400,000",,Yes,,,,49.781206,-92.833528
70,Child care,Education,Emo,Donald Young Public Elementary School,Complete,September 2021,Expansion of existing school,Addition to accommodate 49 child care spaces,Rainy River,Northwest,9024 HIGHWAY 602,P0W1E0,,"$2,987,881",,Yes,,Yes,,48.6308,-93.8302
71,Child care,Education,Erin,Erin Public Elementary School,Complete,December 2018,Renovation of existing school,Renovation to accommodate 49 child care spaces and 1 EarlyON room,Wellington,Southwest,185 DANIEL ST SS 1,N0B1T0,,"$1,083,591",,Yes,,,,43.77489,-80.06759
72,Child care,Education,Essex,Essex Public Elementary School,Complete,September 2021,Expansion of existing school,Addition to accommodate 122 child care spaces,Essex,Southwest,72 BRIEN AVE E,N8M2N8,,"$3,705,654",,Yes,,,,42.17306,-82.8154905
73,Child care,Education,Fort Erie,Child and Family,Complete,September 2018,Expansion of existing building,Addition to accommodate 2 community-based EarlyON rooms,Niagara,Central,796 BUFFALO RD,L2A5H2,,"$1,020,000",,Yes,,,,42.896145,-78.969751
74,Child care,Education,Fort Erie,Under the Rainbow Child Care Services,Complete,September 2018,Expansion of existing building,Addition to accommodate 72 community-based child care spaces,Niagara,Central,748 BUFFALO RD,L2A5H2,,"$1,535,000",,Yes,,,,42.896145,-78.969751
75,Child care,Education,Fort Frances,Robert Moore Public Elementary School,Complete,September 2020,Renovation of existing school,Renovation to accommodate 49 child care spaces,Rainy River,Northwest,528 SECOND ST E,P9A1N4,,"$1,210,009",,Yes,,,,48.61346,-93.38707
76,Child care,Education,Fort Frances,United Native Friendship,Complete,September 2020,Expansion of existing building,Addition to accommodate 49 community-based child care spaces,Rainy River,Northwest,821 MCIRVINE RD,P9A3X7,,"$2,800,000",,Yes,,,,48.609812,-93.395558
77,Child care,Education,Gananoque,St. Joseph Catholic Elementary School,Complete,September 2021,Expansion of existing school,Addition to accommodate 49 child care spaces,Leeds and Grenville,East,235 GEORGIANA ST,K7G1M9,,"$1,865,430",,Yes,,Yes,,44.33423,-76.16338
78,Child care,Education,Gravenhurst,Gravenhurst Public Elementary School,Planning,September 2025,Expansion of existing school,Addition to accommodate 73 child care spaces,Muskoka,Central,301 MARY ST S,P1P1X6,,"$1,663,763",,Yes,,,,44.91805,-79.37719
79,Child care,Education,Gravenhurst,Gravenhurst Integrated Child Care & EarlyON,Complete,September 2018,Renovation of existing building,Addition and renovation to accommodate 15 community-based child care spaces and 1 community-based EarlyON room,Muskoka,Central,180 BROCK ST,P1P1X2,,"$519,770",,Yes,,,,44.920341,-79.372944
80,Child care,Education,Greater Napanee,The Prince Charles Public Elementary School,Complete,September 2017,Renovation of existing school,Renovation to accommodate 16 child care spaces,Lennox and Addington,East,75 GRAHAM ST W,K7R2J9,,"$264,690",,Yes,,,,44.24969,-76.95716
81,Child care,Education,Greater Sudbury,Garderie Place des Arts,Complete,September 2020,Expansion of existing building,Addition to accommodate 15 community-based child care spaces,Sudbury,Northeast,27 LARCH ST,P3E1B8,,"$585,000",,Yes,,,,46.490337,-80.995509
82,Child care,Education,Greenstone,BA Parker Public Elementary School,Complete,September 2021,Renovation of existing school,Renovation to accommodate 49 child care spaces and 1 EarlyON room,Thunder Bay,Northwest,500 SECOND ST W,P0T1M0,,"$5,010,724",,Yes,,Yes,,49.72166,-86.95543
83,Child care,Education,Grimsby,Kidzdome,Complete,September 2019,Expansion of existing building,Addition and renovation to accommodate 78 community-based child care spaces,Niagara,Central,162 MAIN ST E,L3M1P4,,"$1,545,000",,Yes,,,,43.189369,-79.549795
84,Child care,Education,Grimsby,Lakeview Public Elementary School,Under construction,September 2024,Expansion of existing school,Addition to accommodate 88 child care spaces,Niagara,Central,33 OLIVE ST,L3M2B9,,"$3,063,799",,Yes,,,,43.201,-79.56159
85,Child care,Education,Guelph,St. Patrick Catholic Elementary School,Under construction,2024,Expansion of existing school,Addition to accommodate 64 child care spaces,Wellington,Southwest,391 VICTORIA RD N,N1E5J9,,"$3,887,404",,Yes,,,,43.57657,-80.25778
86,Child care,Education,Guelph-Eramosa,Sacred Heart Catholic Elementary School,Complete,April 2022,Expansion of existing school,Addition to accommodate 49 child care spaces and 2 EarlyON rooms,Wellington,Southwest,5146 7 HWY RR 4,N0B2K0,,"$2,995,751",,Yes,,Yes,,43.62408,-80.15174
87,Child care,Education,Halton Hills,Halton Hills Child Care,Complete,September 2018,Renovation of existing school,Renovation to accommodate 25 community based child care spaces,Halton,Central,60 PARK AVE,L7G5X3,,0,,,,,,43.649717,-79.92395
88,Child care,Education,Hamilton,St. Gabriel Catholic Elementary School,Complete,September 2018,Expansion of existing school,Addition to accommodate 73 child care spaces,Hamilton,Central,1361 BARTON ST,L8E5L1,,"$2,670,102",,Yes,,,,43.21128,-79.64313
89,Child care,Education,Hamilton,Bennetto Public Elementary School,Complete,September 2021,Renovation of existing school,Renovation to accommodate 49 child care spaces,Hamilton,Central,47 SIMCOE ST E,L8L3N2,,"$1,646,181",,Yes,,Yes,,43.26784,-79.86202
90,Child care,Education,Hamilton,Dr. J Edgar Davey Public Elementary School,Complete,January 2021,Renovation of existing school,Renovation to accommodate 49 child care spaces,Hamilton,Central,99 FERGUSON AVE N,L8R1L6,,"$1,021,381",,Yes,,,,43.2577016,-79.8604361
91,Child care,Education,Hamilton,Bellmoore Public Elementary School,Complete,September 2021,Expansion of existing school,Addition to accommodate 49 child care spaces,Hamilton,Central,35 PUMPKIN PASS,L0R1C0,,"$1,832,545",,Yes,,,,43.125831,-79.8115922
92,Child care,Education,Hamilton,St. Augustine Catholic Elementary School,Complete,January 2021,Renovation of existing school,Renovation to accommodate 63 child care spaces,Hamilton,Central,25 ALMA ST,L9H2C9,,"$1,285,635",,Yes,,,,43.27093,-79.9557
93,Child care,Education,Hamilton,École élémentaire catholique Notre-Dame,Complete,September 2020,Renovation of existing school,Renovation to accommodate 10 child care spaces,Hamilton,Central,400 CUMBERLAND AVE,L8M2A2,,"$124,860",,Yes,Yes,,,43.2419,-79.8361
94,Child care,Education,Hamilton,Biindigen Community HUB,Complete,September 2020,Expansion of existing building,Addition to accommodate 3 community-based EarlyON rooms,Hamilton,Central,785 BRITANNIA AVE,L8H2B6,,"$510,000",,Yes,,,,43.23949,-79.781398
95,Child care,Education,Hamilton,King George ,Complete,September 2019,Expansion of existing building,Addition to accommodate 3 community-based EarlyON rooms,Hamilton,Central,77 GAGE AVE N,L8L6Z8,,"$2,040,000",,Yes,,,,43.251328,-79.827643
96,Child care,Education,Hamilton,Riverdale Community HUB ,Complete,September 2020,Expansion of existing building,Addition to accommodate 49 community-based child care spaces and 3 community-based EarlyON rooms,Hamilton,Central,150 VIOLET DR,L8E6B4,,"$2,040,000",,Yes,,,,43.232829,-79.757515
97,Child care,Education,Hamilton,St. Thomas the Apostle Catholic Elementary School,Complete,June 2023,Expansion of existing school,Addition to accommodate 49 child care spaces,Hamilton,Central,170 SKINNER RD,L0R2H7,,"$3,098,948",,Yes,,,,43.33907842,-79.87700107
98,Child care,Education,Hamilton,école élémentaire publique Pavillon de la jeunesse,Planning,September 2025,Expansion of existing school,Addition to accommodate 49 child care spaces,Hamilton,Central,105 HIGH ST,L8T3Z4,,"$1,636,562",,Yes,,,,43.22656,-79.82413
99,Child care,Education,Havelock-Belmont-Methuen,Havelock-Belmont Public Elementary School,Complete,September 2019,Renovation of existing school,Renovation to accommodate 39 child care spaces,Peterborough,East,55 MATHISON ST E,K0L1Z0,,"$771,457",,Yes,,,,44.43647,-77.87936
100,Child care,Education,Hawkesbury,Centre pour l'enfant et la famille ON y va,Complete,September 2018,Renovation of existing building,Renovation to accommodate 2 community-based EarlyON rooms,Prescott and Russell,East,"874, 876, 878 RUE JAMES",K6A2W8,,"$520,000",,Yes,,,,45.601625,-74.617772
101,Child care,Education,Huntsville,St. Mary's Catholic Elementary School,Under construction,2024,Expansion of existing school,Addition to accommodate 39 child care spaces,Muskoka,Central,36 SILVERWOOD DR,P1H1N1,,"$1,159,591",,Yes,,,,45.32988,-79.23415
102,Child care,Education,Ignace,Ignace Public Elementary School,Under construction,2024,Renovation of existing school,Renovation to accommodate 15 child care spaces,Kenora,Northwest,194 DAVEY LAKE RD,P0T1T0,,"$1,401,956",,Yes,,Yes,,49.40932797,-91.66086208
103,Child care,Education,Kapuskasing,École élémentaire catholique Jacques-Cartier,Complete,September 2019,Renovation of existing school,Renovation to accommodate 10 child care spaces,Cochrane,Northeast,8 BRUNELLE RD S,P5N2T2,,"$403,337",,Yes,,,,49.40793,-82.40249
104,Child care,Education,Kawartha Lakes,Bobcaygeon,Complete,September 2018,Expansion of existing building,Addition to accommodate 25 community-based child care spaces,Kawartha Lakes,East,3 DUKE ST,K0M1A0,,"$750,000",,Yes,,,,44.544744,-78.5437
105,Child care,Education,Kenora,Evergreen Public Elementary School,Complete,February 2021,Renovation of existing school,Renovation to accommodate 15 child care spaces,Kenora,Northwest,675 BRINKMAN RD,P9N2R5,,"$806,672",,Yes,,Yes,,49.77279,-94.47243
106,Child care,Education,Kenora,Keewatin Public Elementary School,Complete,March 2021,Renovation of existing school,Renovation to accommodate 24 child care spaces,Kenora,Northwest,330 MILL ST,P0X1C0,,"$418,485",,Yes,,Yes,,49.76,-94.561
107,Child care,Education,Kenora,Pope John Paul II Catholic Elementary School,Complete,September 2020,Renovation of existing school,Renovation to accommodate 15 child care spaces,Kenora,Northwest,1290 HEENAN PL,P9N2Y8,,"$403,337",,Yes,,,,49.78139,-94.46025
108,Child care,Education,Kenora,FIREFLY Child Care,Complete,September 2019,Renovation of existing building,Renovation to accommodate 15 community-based child care spaces,Kenora,Northwest,820 LAKEVIEW DR,P9N3P7,,"$400,000",,Yes,,,,49.76328,-94.528036
109,Child care,Education,Kenora,Kids Zone Lakeside ,Complete,September 2018,Renovation of existing building,Renovation to accommodate 15 community-based child care spaces,Kenora,Northwest,216 SIXTH STREET S,P9N1M7,,"$350,000",,Yes,,,,49.758838,-94.485998
110,Child care,Education,Kenora,St. Louis Catholic Elementary School,Planning,September 2024,Renovation of existing school,Renovation to accommodate 15 child care spaces,Kenora,Northwest,420 8TH ST,P0X1C0,,"$610,032",,Yes,,Yes,,49.75911,-94.5565
111,Child care,Education,Kingston,EarlyON East Kingston ,Complete,September 2020,Renovation of existing building,Renovation to accommodate 2 community-based EarlyON rooms,Frontenac,East,695 INNOVATION DR,K7K7E6,,"$525,000",,Yes,,,,44.303401,-76.417618
