_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
31,Education,Colleges and Universities,St. Catharines,Brock University - Marilyn I. Walker School of Fine and Performing Arts (198 St. Paul Street Project),Complete,May 2015,Renovation of 19th-century textile factory in downtown St. Catharines,"Includes 235-seat theatre, rehearsal space, art studios etc",Niagara,Central,15 Artists' Common,L2R 4H5,,0,,Yes,,Yes,,43.157705,-79.242822
32,Education,Colleges and Universities,Thunder Bay,Confederation College - Technology Education and Collaboration (TEC) Hub,Complete,July 2018,Construction of new building ,"44,000 sq. ft. space to support research, incubation and technology training",Thunder Bay,Northwest,1450 Nakina Dr,P7C 4W1,,"$20,000,000",,Yes,Yes,Yes,,48.40302,-89.269096
33,Education,Colleges and Universities,Timmins,Northern College Expansion ,Complete,November 2018,Expansion of the Timmins Campus to support the creation of an Integrated Emergency Services Complex. ,"Expansion will enhance experiential learning for students in a collaborative environment with Emergency Services Responders and house Smart classrooms, video conferencing, training labs and garages, and simulation rooms to support specialized training for fire, police, and paramedic students, professionals and volunteers.  LEED design will contribute to sustainability through energy efficiency.",Cochrane,Northeast,4715 Highway 101 East,P0N1H0,,"$11,700,000",,Yes,Yes,Yes,,48.486745,-81.201321
34,Education,Colleges and Universities,Toronto,Centennial College - Downsview Park Aerospace Campus,Complete,November 2018,Renovating former de Havilland Building in partnership with Parc Downsview Park Inc. and City of Toronto,"New classrooms, workshops, hangars with access to working runways",Toronto,Central,65 Carl Hall Rd,M3K 2C1,,"$72,428,380",,Yes,Yes,Yes,,43.747763,-79.475341
35,Education,Colleges and Universities,Toronto,George Brown College - Design Centre for the Smart Economy,Complete,March 2018,Construction of new building,"Adding incubator, laboratory and research space",Toronto,Central,51 Dockside Drive,M5A 0B6,,0,,,Yes,Yes,,43.64396,-79.36555
36,Education,Colleges and Universities,Toronto,Humber College - Centre for Technology and Innovation,Complete,November 2018,Construction of new building ,"Adding 69,000 sq. ft. to support research and product-development in science, engineering, technology and math (STEM)",Toronto,Central,205 Humber College Blvd,M9W 5L7,,0,,,Yes,Yes,,43.72858,-79.605584
37,Education,Colleges and Universities,Toronto,Humber College - Learning Resource Commons,Complete,April 2015,New entrance to main campus and added student space,"Adding 6 storeys, 260,000 sq. ft. of space for academic support and student services",Toronto,Central,205 Humber College Blvd,M9W 5L7,,"$74,700,000",,Yes,,Yes,,43.729229,-79.606738
38,Education,Colleges and Universities,Toronto,Ryerson University - Campus Research and Innovation Renewal,Complete,February 2019,"Renovation of existing labs, addition of incubators","Improving environmental sustainability of science, design and engineering research labs",Toronto,Central,350 Victoria St,M5B 2K3,,"$28,613,343",,Yes,Yes,Yes,,43.657877,-79.380456
39,Education,Colleges and Universities,Toronto,Ryerson University - Centre for Urban Innovation,Complete,November 2018,Renovation of existing building,"Will house researchers and labs in energy, water, data, infrastructure and food",Toronto,Central,44 Gerrard St E,M5B 1G3,,0,,,Yes,Yes,,43.659619,-79.379686
40,Education,Colleges and Universities,Toronto,Ryerson University - Daphne Cockwell Health Sciences Complex,Complete,August 2019,Construction of new building,"Combining residential tower (100 units for 332 students), academic programs (e.g. nursing, public health) and administrative offices",Toronto,Central,300 Church St,M5B 1Z2,,"$115,100,000",,Yes,,Yes,,43.657519,-79.377563
41,Education,Colleges and Universities,Toronto,"Seneca College - Centre for Innovation, Technology and Entrepreneurship",Complete,December 2018,Construction of new centre ,"Will house a living lab, training, business incubation, applied research and commercialization",Toronto,Central,1750 Finch Ave E,M2J 2X5,,"$84,970,000",,Yes,Yes,Yes,,43.794823,-79.348712
42,Education,Colleges and Universities,Toronto,Seneca College - Mechatronics Simulation and Demonstration Centre,Complete,December 2015,Construction of a new research and training centre,New workstations with full-simulation capability and a digital factory manufacturing-line training system,Toronto,Central,1750 Finch Ave E,M2J 2X5,,"$651,000",,Yes,,Yes,,43.795147,-79.349619
43,Education,Colleges and Universities,Toronto,University of Toronto - Centre for Engineering Innovation & Entrepreneurship,Complete,August 2018,Construction of new building,"Almost 80,000 sq. ft. of new space for teaching, creative design, student space and a 500-seat auditorium, to be used for learning, collaboration and events",Toronto,Central,47 - 55 St. George St,M5S 2E5,,"$99,920,000",,Yes,,Yes,,43.659829,-79.396361
44,Education,Colleges and Universities,Toronto,University of Toronto - Lab Innovation for Toronto (LIFT) Project,Complete,April 2018,Renewal of 546 research labs on all three U of T campuses ,"580,000 sq. ft. of new space to be redesigned for improved collaboration and research, as well as energy efficiency",Toronto,Central,27 King's College Circle,M5S 1A1,,"$189,800,000",,Yes,Yes,Yes,,43.664964,-79.39833
45,Education,Colleges and Universities,Toronto,York University - Bergeron Centre for Engineering Excellence,Complete,April 2016,Construction of new building,"5-storey building adds 169,500 sq. ft., including learning areas, research labs, classrooms and offices for civil, mechanical and electrical engineering programs",Toronto,Central,"4700 Keele Street, 11 Arboretum Ln",M3J 1P3,,"$50,000,000",,Yes,,Yes,,43.772352,-79.506476
46,Education,Colleges and Universities,Toronto,York University - Major science building renewal,Complete,November 2018,Renovating five major science research buildings,"Enhancing research productivity, innovation and experiential learning",Toronto,Central,4700 Keele St,M3J 1P3,,"$48,000,000",,Yes,Yes,Yes,,43.77284,-79.494995
47,Education,Colleges and Universities,Toronto,York University - Schulich School of Business expansion,Complete,February 2019,Construction of new building,"Expand global programs and provide facilities, infrastructure and services to support more student and faculty cutting-edge research",Toronto,Central,4700 Keele St,M3J 1P3,,"$46,682,103",,,Yes,Yes,,43.774103,-79.498907
48,Education,Colleges and Universities,Toronto,Université de l’Ontario français,Complete,October 2021,"The Université de l’Ontario français Act, 2017 (UOF Act), which came into force on April 9, 2018, established the first Francophone university in Ontario to be governed by and for Francophones. ","UOF signed a lease with Daniels DQ Corporation for 50,000 square feet of space in downtown Toronto. The 10-year lease commenced when UOF welcomed its inaugural class in September, 2021. Captital funding went towards fit-up of the space.",Toronto,Central,9 Lower Jarvis St.,M5E0C3,,"$126,000,000",,Yes,Yes,,https://www.uontario.ca/,43.64425,-79.36858
49,Education,Colleges and Universities,Waterloo,University of Waterloo - Engineering 7 Building,Complete,April 2018,"Construction of new building for biomedical engineering program, robotic-vehicle testing, and more","7-storey, 242,000-sq.ft.-space to house 40 labs supporting research and innovation focused on additive manufacturing, autonomous vehicles and robotics, biomedical engineering and the Internet of Things",Waterloo,Southwest,263 Philips St,N2L 3G1,,0,,,Yes,Yes,,43.473756,-80.53876
50,Education,Colleges and Universities,Waterloo,Wilfrid Laurier University - Centre for Global Innovation Exchange and Peters Building Renovation,Complete,December 2016,Construction of new building,"215,000 sq. ft.-facility has 7 lecture halls, 2-level/1,100-seat auditorium, computer and math labs, meeting rooms, administrative offices, atrium and café",Waterloo,Southwest,64 University Ave W,N2L 3C5,,"$72,600,000",,Yes,,Yes,,43.475259,-80.529485
51,Education,Colleges and Universities,Waterloo,Wilfrid Laurier University - Lazaridis Hall Development and Peters Building refurbishment,Complete,September 2018,Renovation and expansion of existing buildings,"Adding new research and teaching labs, classrooms and offices; upgrading heating, ventilation, air conditioning and building automation systems ",Waterloo,Southwest,75 University Ave W,N2L 3C5,,0,,,Yes,Yes,,43.473661,-80.528912
52,Education,Colleges and Universities,Welland,"Niagara College - Specialized Training, Applied Research and Entrepreneurship Acceleration in the Agri-Food Sector for Economic Development in the Niagara Region",Complete,August 2018,Construction of new building,"Supporting teaching, research and entrepreneurship in food and wine sciences",Niagara,Central,300 Woodlawn Road,L3C 7L3,,"$34,600,000",,Yes,Yes,Yes,,43.014517,-79.262702
53,Education,Colleges and Universities,Windsor,University of Windsor - Campus Redevelopment,Complete,June 2018,Renovating and expanding space,Supporting growth in music and visual art programs and greater presence for continuing education in downtown Windsor,Essex,Southwest,401 Sunset Ave,N9B 3P4,,"$83,560,000",,Yes,,Yes,,42.305534,-83.06774
54,Education,Colleges and Universities,Windsor,University of Windsor - Science Research And Innovation Facility,Complete,August 2018,New construction and renovation of Essex Hall,"Addition of 46,000 sq. ft. of energy-efficient lab and collaboration space",Essex,Southwest,401 Sunset Ave,N9B 3P4,,"$30,300,000",,Yes,Yes,Yes,,42.307721,-83.068478
55,Education,Education,Ajax,Michaëlle-Jean Public Elementary School,Complete,September 2015,New school built,Accommodates about 550 kindergarten to Gr. 8 students,Durham,Central,180 Williamson Dr E,L1Z0G7,,"$10,376,307",,Yes,,Yes,,43.89626381,-79.02477159
56,Education,Education,Ajax,Viola Desmond Public Elementary School,Complete,September 2018,Construction of new school,"New facility to accommodate 663 students in a growing community, including the construction of 73 child care spaces",Durham,Central,39 FORMOSA AVE,L1Z0M6,,"$14,641,331",,Yes,,,,43.882255,-79.00578
57,Education,Education,Ajax,St. James Catholic Elementary School,Complete,September 2017,Expansion of existing school,New classroom addition of 138 pupil places for a growing school,Durham,Central,10 CLOVER RIDGE DR W,L1S3E5,,"$2,910,201",,Yes,,Yes,,43.82663,-79.01446
58,Education,Education,Ajax,Meadows North Public Elementary School,Complete,September 2021,Construction of new school,"New facility to accommodate 558 students in a growing community, including the construction of 1 EarlyON room",Durham,Central,270 WILLIAMSON DR W,L1T0H7,,"$12,106,454",,Yes,,Yes,,43.88201079,-79.05121439
59,Education,Education,Ajax,école élémentaire publique Whitby-Ajax,Planning,September 2026,Construction of new school,"New facility to accommodate 317 students in a growing community, including the construction of 49 child care spaces",Durham,Central,TURNERBURY AVE / AINLEY ST,,,"$9,873,961",,Yes,,,,43.87800084,-79.00473134
60,Education,Education,Alfred and Plantagenet,École élémentaire catholique Saint-Joseph,Complete,September 2017,Renovation of existing school,"Renovation to improve school condition, including 10 child care spaces",Prescott and Russell,East,3250 RUE PRINCIPALE,K0A3K0,,"$1,200,000",,Yes,,,,45.57206,-75.13025
61,Education,Education,Amherstburg,Amherstburg Public Secondary School,Complete,September 2022,Construction of new school,New facility to accommodate 819 students as a result of a consolidation,Essex,Southwest,315 SIMCOE ST,N9V1N1,,"$25,985,519",,Yes,,,,42.1066158,-83.1109837
62,Education,Education,Amherstburg,Stella Maris Catholic Elementary School,Complete,September 2017,Expansion of existing school,New classroom addition of 95 pupil places to accommodate students as a result of a consolidation,Essex,Southwest,140 GIRARD ST,N9V2X3,,"$1,349,743",,Yes,,,,42.11563,-83.10671
63,Education,Education,Arnprior,École élémentaire catholique Arnprior,Complete,September 2023,Construction of new school,"New facility to accommodate 248 underserved French-language students, including the construction of 49 child care spaces",Renfrew,East,225 BASKIN DR W,K7S0E3,,"$10,141,787",,Yes,,Yes,,45.42943,-76.37479
64,Education,Education,Atikokan,Atikokan Public Elementary and Secondary School,Complete,August 2023,Expansion of existing school,"New classroom addition of 354 pupil places to accommodate students as a result of consolidation, including 49 child care spaces and 1 EarlyON room",Rainy River,Northwest,324 MERCURY AVE,P0T1C0,,"$24,449,515",,Yes,,Yes,,48.76249,-91.61241
65,Education,Education,Aurora,Aurora 2C Public Elementary School,Under construction,September 2024,Construction of new school,"New facility to accommodate 638 students in a growing community, including the construction of 39 child care spaces",York,Central,HARTWELL WAY/ WILLIAM GRAHAM DR,,,"$23,845,280",,Yes,,,,44.022071,-79.429739
66,Education,Education,Barrie,Barrie North Public Secondary School,Complete,September 2017,Expansion of existing school,New classroom addition of 231 pupil places to accommodate students as a result of a consolidation,Simcoe,Central,110 GROVE ST E,L4M2P3,,"$7,618,621",,Yes,,Yes,,44.40051,-79.68885
67,Education,Education,Barrie,Barrie South Public Secondary School,Complete,September 2021,Construction of new school,New facility to accommodate 1005 students in a growing community,Simcoe,Central,225 PRINCE WILLIAM WAY,L4N0Y9,,"$30,027,093",,Yes,,Yes,,44.34749,-79.60971
68,Education,Education,Belleville,Harmony  Public Elementary School,Complete,September 2016,New school built,New facility to accommodate 591 students as a result of a consolidation,Hastings,East,626 HARMONY RD,K0K1V0,,"$13,860,259",,Yes,,,,44.2404,-77.3846
69,Education,Education,Belleville,Easthill Public Elementary School,Under construction,September 2024,Construction of new school,"New facility to accommodate 472 students as a result of a consolidation, including the construction of 49 child care spaces",Hastings,East,135 MACDONALD AVE,K8N3Y4,,"$17,073,609",,Yes,,Yes,,44.16537738,-77.36440996
70,Education,Education,Belleville,Eastside Public Secondary School,Complete,September 2023,Expansion of existing school,New classroom addition of 189 pupil places to accommodate students as a result of consolidation,Hastings,East,275 FARLEY AVE,K8N4M2,,"$7,890,201",,Yes,,,,44.17543,-77.35201
71,Education,Education,Belleville,St. Joseph Catholic Elementary School,Under construction,September 2024,Expansion of existing school,"New classroom addition of 334 pupil places for a growing school, including 49 child care spaces and 2 EarlyON rooms",Hastings,East,405 BRIDGE ST E,K8N1P7,,"$15,866,034",,Yes,,Yes,,44.16896,-77.35838
72,Education,Education,Blind River,Blind River Public Elementary and Secondary School,Under construction,September 2025,Construction of new school,"New facility to accommodate 381 students as a result of a consolidation, including the construction of 64 child care spaces and of 2 EarlyON rooms",Algoma,Northeast,180 YOUNGFOX RD,P0R1B0,,"$41,597,813",,Yes,,Yes,,46.18326,-82.97448
73,Education,Education,Blind River,école élémentaire publique Blind River,Under construction,September 2025,Construction of new school,New facility to accommodate 72 underserved French-language students,Algoma,Northeast,180 YOUNGFOX RD,P0R1B0,,"$5,423,948",,Yes,,Yes,,46.18326,-82.97448
74,Education,Education,Bonfield,École élémentaire catholique Lorrain,Complete,September 2015,Renovation of existing school,School renovation as a result of condition of school,Nipissing,Northeast,245 YONGE ST RR 1,P0H1E0,,"$1,624,762",,Yes,Yes,,,46.23632,-79.14587
75,Education,Education,Bradford-West Gwillimbury,St. Charles Catholic Elementary School,Complete,September 2022,Construction of new school,"New facility to accommodate 470 students in a growing community, including the construction of 49 child care spaces",Simcoe,Central,691 SIMCOE RD,L3Z4B4,,"$11,497,935",,Yes,,Yes,,44.093307,-79.567127
76,Education,Education,Bradford-West Gwillimbury,Chris Hadfield Public Elementary School,Complete,January 2016,New school built,New facility to accommodate 507 students in a growing community,Simcoe,Central,211 WEST PARK AVE,L3Z0B9,,"$10,100,880",,Yes,,,,44.10523,-79.58556
77,Education,Education,Bradford-West Gwillimbury,St. Angela Merici Catholic Elementary School,Complete,September 2015,New school built,New facility to accommodate 470 students in a growing community,Simcoe,Central,109 WEST PARK AVE,L3Z0A7,,"$9,372,852",,Yes,,Yes,,44.10112,-79.58667
78,Education,Education,Bradford-West Gwillimbury,St. Marie of the Incarnation Catholic Elementary School,Complete,March 2016,Expansion of existing school,New classroom addition of 242 pupil places for a growing school,Simcoe,Central,105 COLBORNE ST,L3Z1C4,,"$6,568,816",,Yes,,Yes,,44.1184,-79.56076
79,Education,Education,Bradford-West Gwillimbury,Harvest Hill Elementary Public School,Complete,September 2023,Construction of new school,"New facility to accommodate 501 students in a growing community, including the construction of 39 child care spaces",Simcoe,Central,400 CROSSLAND BLVD,L3Z0G8,,"$12,139,261",,Yes,,Yes,,44.12404872,-79.59092433
80,Education,Education,Bradford-West Gwillimbury,Marshview Elementary Public School,Complete,May 2023,Construction of new school,New facility to accommodate 593 students in a growing community,Simcoe,Central,742 SIMCOE RD,L3Z2A6,,"$13,481,389",,Yes,,Yes,,44.0910978,-79.56699279
81,Education,Education,Bradford-West Gwillimbury,Queensville Public Elementary School,Planning,September 2025,Construction of new school,"New facility to accommodate 638 students in a growing community, including the construction of 39 child care spaces",Simcoe,Central,TBD,L9N0R8,,"$27,137,163",,Yes,,Yes,,,
82,Education,Education,Bradford-West Gwillimbury,Bradford Catholic Elementary School,Planning,September 2025,Construction of new school,"New facility to accommodate 516 students in a growing community, including the construction of 49 child care spaces",Simcoe,Central,TBD,L3Z0G4,,"$16,311,549",,Yes,,,,,
83,Education,Education,Brampton,St. Anthony Catholic Elementary School,Complete,September 2015,Soil remediation work,"Accommodates about 1,240 Gr. 9 to 12 students",Peel,Central,950 NORTH PARK DR,L6S3L5,,"$41,739",,Yes,,,,43.73602,-79.7414839
84,Education,Education,Brampton,Whaley's Corner Public Elementary School,Complete,March 2018,Construction of new school,"New facility to accommodate 650 students in a growing community, including the construction of 39 child care spaces",Peel,Central,140 HOWARD STEWART RD,L6Y6B1,,"$12,926,288",,Yes,,Yes,,43.63183,-79.78654
85,Education,Education,Brampton,Dolson Public Elementary School,Complete,September 2018,Construction of new school,"New facility to accommodate 852 students in a growing community, including the construction of 39 child care spaces",Peel,Central,95 REMEMBRANCE RD,L7A4W3,,"$15,213,733",,Yes,,Yes,,43.69475,-79.85145
86,Education,Education,Brampton,St. Daniel Comboni Catholic Elementary School,Complete,September 2017,Construction of new school,"New facility to accommodate 553 students in a growing community, including the construction of 39 child care spaces",Peel,Central,120 VETERANS DR,L7A3Z7,,"$11,503,828",,Yes,,,,43.681002,-79.84119943
87,Education,Education,Brampton,St. Jacinta Marto Catholic Elementary School,Complete,September 2019,Construction of new school,"New facility to accommodate 504 students in a growing community, including the construction of 39 child care spaces",Peel,Central,40 FALLOWFIELD RD,L6X0W1,,"$12,186,004",,Yes,,Yes,,43.657234,-79.797648
